id_	over/under	perc_associated_foreground	perc_associated_background	fold_enrichment_foreground_2_background	foreground_count	foreground_n	background_count	background_n	p_uncorrected	FDR	description	ANs_foreground
.....GO:1902531	u	0.608	1.043	0.583	7	1151	12	1151	0.357	1	regulation of intracellular signal transduction	P06101, P07278, P17157, P25357, P26637, P39960, Q01389
...GO:0055082	u	2.346	3.041	0.771	27	1151	35	1151	0.368	1	cellular chemical homeostasis	P00445, P04806, P04807, P16140, P16861, P16862, P17255, P17709, P21373, P22203, P25374, P31412, P32563, P33302, P37012, P38636, P38988, P39111, P39986, P41807, P48360, P48836, Q04409, Q06493, Q06508, Q07540, Q08179
...GO:0007535	o	0.348	0.087	4.000	4	1151	1	1151	0.374	1	donor selection	P15790, P19454, P40466, P40562
....GO:0072396	o	0.348	0.087	4.000	4	1151	1	1151	0.374	1	response to cell cycle checkpoint signaling	P40457, Q02455, Q03790, Q99383
..GO:0016530	o	0.348	0.087	4.000	4	1151	1	1151	0.374	1	metallochaperone activity	P38636, P40202, Q07540, Q12287
....GO:0016298	u	0.087	0.348	0.250	1	1151	4	1151	0.374	1	lipase activity	P38139
......GO:0005876	u	0.087	0.348	0.250	1	1151	4	1151	0.374	1	spindle microtubule	P53267
....GO:0051647	u	0.087	0.348	0.250	1	1151	4	1151	0.374	1	nucleus localization	Q02647
....GO:0005881	u	0.087	0.348	0.250	1	1151	4	1151	0.374	1	cytoplasmic microtubule	Q02647
....GO:1903509	u	0.087	0.348	0.250	1	1151	4	1151	0.374	1	liposaccharide metabolic process	P32463
.....GO:0015035	u	0.348	0.695	0.500	4	1151	8	1151	0.386	1	protein disulfide oxidoreductase activity	P17695, P17967, P22217, P25372
.....GO:0010647	u	0.348	0.695	0.500	4	1151	8	1151	0.386	1	positive regulation of cell communication	P25357, P39935, Q01389, Q08421
...GO:0006970	u	1.303	1.825	0.714	15	1151	21	1151	0.401	1	response to osmotic stress	P00445, P02829, P06115, P07283, P07991, P13587, P19454, P21965, P22943, P25343, P38624, P39522, P40106, P41277, P54115
....GO:0034655	o	3.562	2.867	1.242	41	1151	33	1151	0.408	1	nucleobase-containing compound catabolic process	P01123, P05453, P07260, P15436, P16550, P22147, P24783, P25555, P25694, P26793, P33201, P33309, P38336, P38801, P38996, P39073, P39517, P39954, P40327, P41812, P46957, P47047, P47110, P47119, P48240, P53044, P53063, P53272, P53617, P53725, P53833, P53905, Q01939, Q02555, Q02792, Q05635, Q08162, Q12149, Q12514, Q12692, Q99383
....GO:0007005	u	3.041	3.736	0.814	35	1151	43	1151	0.42	1	mitochondrion organization	P04710, P04840, P06168, P07213, P17536, P18239, P19262, P19414, P19882, P21147, P21576, P23180, P32445, P32787, P33416, P35191, P36112, P36775, P38300, P38988, P39952, P40961, P43588, P43594, P47117, P60010, Q02486, Q02776, Q03690, Q04013, Q05933, Q06493, Q07540, Q07878, Q08179
....GO:1901701	o	1.303	0.869	1.500	15	1151	10	1151	0.422	1	cellular response to oxygen-containing compound	P00445, P00447, P07248, P12383, P16965, P32356, P32527, P33892, P34760, P38205, P38345, P40535, P41696, P43535, Q00764
.....GO:0043255	o	0.782	0.434	1.800	9	1151	5	1151	0.423	1	regulation of carbohydrate biosynthetic process	P17106, P17157, P28263, P31385, P34760, P38140, P39001, Q04401, Q12508
.....GO:0015849	u	0.434	0.782	0.556	5	1151	9	1151	0.423	1	organic acid transport	P30624, P31787, P38087, P39109, Q04013
..GO:0007568	o	1.998	1.477	1.353	23	1151	17	1151	0.426	1	aging	P00447, P01120, P04807, P17505, P18412, P19454, P26793, P31787, P32340, P32561, P34760, P35169, P35187, P38859, P39925, P40961, P52893, P52910, P53184, P60010, Q01454, Q01802, Q03833
....GO:0032970	u	0.956	1.390	0.688	11	1151	16	1151	0.439	1	regulation of actin filament-based process	P15891, P28495, P32471, P32521, P38266, P42073, P47117, Q05933, Q06440, Q06449, Q12156
...GO:0008233	u	2.433	3.041	0.800	28	1151	35	1151	0.444	1	peptidase activity	P07256, P07257, P0C2I9, P10507, P11914, P21243, P22141, P25037, P25375, P25451, P32379, P32454, P32565, P32571, P32898, P36775, P37302, P37898, P38624, P39925, P43588, P43616, Q01476, Q01662, Q02724, Q03434, Q03792, Q12472
.......GO:0003924	u	1.651	2.172	0.760	19	1151	25	1151	0.447	1	GTPase activity	P01120, P01123, P02994, P05453, P07560, P11076, P20424, P21576, P25039, P32324, P32468, P32939, P36018, P38116, P39730, P40010, P53742, Q08965, Q99287
....GO:0097033	o	0.434	0.174	2.500	5	1151	2	1151	0.452	1	mitochondrial respiratory chain complex III biogenesis	P07253, P14066, P21560, P38300, Q08179
.....GO:0071033	o	0.434	0.174	2.500	5	1151	2	1151	0.452	1	nuclear retention of pre-mRNA at the site of transcription	P33411, P38801, P47047, Q02455, Q12149
....GO:0010528	o	0.434	0.174	2.500	5	1151	2	1151	0.452	1	regulation of transposition	P18412, P38850, P46678, Q05543, Q07794
....GO:0030705	u	0.174	0.434	0.400	2	1151	5	1151	0.452	1	cytoskeleton-dependent intracellular transport	P60010, Q02647
...GO:0016877	o	0.869	0.521	1.667	10	1151	6	1151	0.453	1	ligase activity, forming carbon-sulfur bonds	P22515, P30624, P38137, P39002, P52488, P52910, P53312, P53598, Q01574, Q06624
......GO:0072665	u	1.043	1.477	0.706	12	1151	17	1151	0.455	1	protein localization to vacuole	P01120, P01123, P21576, P32939, P36018, P36149, P38116, P38153, P53079, P69771, Q06671, Q07878
.......GO:1903320	o	0.956	0.608	1.571	11	1151	7	1151	0.479	1	regulation of protein modification by small protein conjugation or removal	P25694, P29311, P31111, P34730, P38351, P39705, P53064, P89105, Q03790, Q06697, Q08981
.....GO:0046890	o	0.956	0.608	1.571	11	1151	7	1151	0.479	1	regulation of lipid biosynthetic process	P14922, P16649, P17106, P17157, P21957, P24280, P31385, P35169, P39001, Q03833, Q05958
...GO:0031647	o	0.956	0.608	1.571	11	1151	7	1151	0.479	1	regulation of protein stability	P00445, P03872, P06101, P17157, P19882, P33416, P34227, P34760, P38013, P39073, P40553
...GO:0044283	o	10.078	9.123	1.105	116	1151	105	1151	0.479	1	small molecule biosynthetic process	P00330, P00331, P00358, P00359, P00360, P00498, P00560, P00815, P00890, P00899, P00924, P00925, P00927, P00931, P00937, P00942, P00950, P03965, P05694, P06106, P06168, P06169, P06208, P07149, P07245, P07246, P07259, P07262, P07264, P07275, P07283, P07342, P07991, P08465, P08524, P08566, P09201, P09440, P09624, P10869, P12684, P12709, P13663, P14540, P16120, P17423, P19097, P21147, P21954, P23542, P25087, P28241, P28777, P28834, P29704, P31116, P31373, P32264, P32288, P32327, P32353, P32389, P32449, P32462, P32463, P32582, P32771, P33330, P37291, P37292, P37303, P38071, P38075, P38122, P38140, P38787, P38891, P39522, P39533, P39714, P39976, P40047, P40106, P40185, P40495, P40510, P40545, P41277, P41338, P46367, P47039, P47176, P48360, P48570, P49017, P49089, P50861, P52893, P53090, P53199, P53318, P54115, P54839, P54885, Q00955, Q01217, Q02046, Q02196, Q04545, Q04728, Q05779, Q06685, Q12074, Q12122, Q12166, Q12189
......GO:1902905	u	0.608	0.956	0.636	7	1151	11	1151	0.479	1	positive regulation of supramolecular fiber organization	P15891, P32521, P47117, P53168, P53267, Q05933, Q06440
....GO:0060627	u	0.608	0.956	0.636	7	1151	11	1151	0.479	1	regulation of vesicle-mediated transport	P07560, P17891, P25365, P29295, P39010, P47008, P53741
.GO:0009295	o	1.651	1.216	1.357	19	1151	14	1151	0.484	1	nucleoid	P06168, P07251, P09624, P16387, P19262, P19414, P19882, P20967, P21954, P25379, P28834, P32445, P32473, P32787, P46367, P53163, P53598, Q02486, Q04013
...GO:0016741	o	2.693	2.172	1.240	31	1151	25	1151	0.499	1	transferase activity, transferring one-carbon groups	P03965, P05374, P05694, P06785, P07259, P15565, P15646, P25087, P25582, P25627, P37291, P37292, P38009, P38074, P38122, P38205, P38793, P38827, P38961, P40493, P41814, P48015, P49017, P54113, Q00955, Q03012, Q03774, Q04371, Q06287, Q12314, Q12504
..GO:0061919	u	2.172	2.693	0.806	25	1151	31	1151	0.499	1	process utilizing autophagic mechanism	P01120, P01123, P06787, P07560, P11076, P25694, P29295, P32264, P32602, P32939, P36149, P38116, P39968, P40046, P40212, P40491, P43585, P47075, P53079, P53741, Q01389, Q02201, Q02642, Q02725, Q06671
......GO:1902931	o	0.174	0.000	inf	2	1151	0	1151	0.5	1	negative regulation of alcohol biosynthetic process	P31385, P39001
.....GO:0010453	o	0.174	0.000	inf	2	1151	0	1151	0.5	1	regulation of cell fate commitment	P22082, P32591
.....GO:0045597	o	0.174	0.000	inf	2	1151	0	1151	0.5	1	positive regulation of cell differentiation	P22082, P32591
....GO:0044109	o	0.174	0.000	inf	2	1151	0	1151	0.5	1	cellular alcohol catabolic process	P22082, P32591
.GO:0015976	o	0.174	0.000	inf	2	1151	0	1151	0.5	1	carbon utilization	P38140, Q04401
....GO:0043393	o	0.174	0.000	inf	2	1151	0	1151	0.5	1	regulation of protein binding	P29056, Q06411
....GO:0070542	o	0.174	0.000	inf	2	1151	0	1151	0.5	1	response to fatty acid	P07248, P40535
.....GO:0071396	o	0.174	0.000	inf	2	1151	0	1151	0.5	1	cellular response to lipid	P07248, P40535
....GO:0051864	o	0.174	0.000	inf	2	1151	0	1151	0.5	1	histone demethylase activity (H3-K36 specific)	P39956, Q03833
.....GO:0000023	o	0.174	0.000	inf	2	1151	0	1151	0.5	1	maltose metabolic process	P38157, P38158
....GO:1901137	u	4.605	5.300	0.869	53	1151	61	1151	0.501	1	carbohydrate derivative biosynthetic process	P00830, P00942, P04037, P05030, P05626, P06785, P07170, P07244, P07251, P07259, P07283, P09457, P09938, P13298, P14742, P15454, P18562, P20051, P22217, P27616, P28272, P28274, P29311, P29952, P30902, P32190, P32463, P32563, P34730, P36010, P36136, P38009, P38077, P38625, P38689, P38972, P40506, P41940, P42938, P43577, P47124, P47143, P49723, P50094, P50095, P54113, P80210, Q04004, Q04178, Q05911, Q06405, Q12178, Q12265
....GO:0052689	u	0.695	1.043	0.667	8	1151	12	1151	0.502	1	carboxylic ester hydrolase activity	P07806, P09436, P15625, P26637, P38139, P38708, P38777, P38858
......GO:0034502	o	0.521	0.261	2.000	6	1151	3	1151	0.507	1	protein localization to chromosome	P30822, P31111, P32561, P53148, Q03790, Q04002
....GO:0019888	u	0.261	0.521	0.500	3	1151	6	1151	0.507	1	protein phosphatase regulator activity	P25694, P36047, P41895
.....GO:0005938	u	0.261	0.521	0.500	3	1151	6	1151	0.507	1	cell cortex	P15891, P25369, P39960
....GO:0000902	u	0.261	0.521	0.500	3	1151	6	1151	0.507	1	cell morphogenesis	P23292, P31412, P47117
.....GO:0032185	u	0.261	0.521	0.500	3	1151	6	1151	0.507	1	septin cytoskeleton organization	P32457, P32468, P32504
......GO:0051783	o	1.911	1.477	1.294	22	1151	17	1151	0.519	1	regulation of nuclear division	P09959, P14832, P20050, P25357, P29311, P31111, P31383, P32499, P32561, P35187, P36124, P38827, P38911, P38934, P40316, P40457, P40517, P41920, P53148, Q02455, Q03012, Q03790
...GO:0031970	u	2.433	2.954	0.824	28	1151	34	1151	0.52	1	organelle envelope lumen	P00044, P00445, P00830, P00890, P00950, P04037, P04710, P04840, P07170, P07251, P0CS91, P14832, P19414, P19882, P22217, P25375, P28834, P29509, P32898, P36010, P38075, P40202, P40581, P50861, P53193, Q04401, Q07540, Q12287
...GO:0004857	u	0.782	1.129	0.692	9	1151	13	1151	0.521	1	enzyme inhibitor activity	P04147, P07278, P0CT05, P15705, P17442, P21965, P36047, Q08981, Q12159
...GO:0090066	u	0.869	1.216	0.714	10	1151	14	1151	0.539	1	regulation of anatomical structure size	P15891, P28495, P32432, P32521, P38266, P47117, Q05933, Q06440, Q06449, Q12156
..GO:0044764	o	0.608	0.348	1.750	7	1151	4	1151	0.548	1	multi-organism cellular process	P13574, P25343, P35177, P38255, Q02908, Q03833, Q12114
......GO:0010506	o	0.608	0.348	1.750	7	1151	4	1151	0.548	1	regulation of autophagy	P17157, P32561, P35169, P39956, P43572, Q06671, Q08649
.....GO:0071616	o	0.608	0.348	1.750	7	1151	4	1151	0.548	1	acyl-CoA biosynthetic process	P12695, P16387, P16451, P32473, P52910, Q00955, Q01574
.....GO:0016311	u	1.738	2.172	0.800	20	1151	25	1151	0.548	1	dephosphorylation	O13297, P09201, P16120, P19881, P25366, P26793, P31383, P31688, P36136, P40081, P40106, P41277, P41895, P42073, P53929, P53981, Q00764, Q02776, Q04371, Q06685
....GO:0030258	u	0.348	0.608	0.571	4	1151	7	1151	0.548	1	lipid modification	P28817, P32419, P41338, Q12480
......GO:0001403	u	0.348	0.608	0.571	4	1151	7	1151	0.548	1	invasive growth in response to glucose limitation	P13574, P18412, P38011, P38255
...GO:0006099	o	1.303	0.956	1.364	15	1151	11	1151	0.555	1	tricarboxylic acid cycle	P00890, P08417, P17505, P19262, P19414, P19955, P20967, P21954, P28241, P28834, P32419, P39533, P53312, P53598, Q00711
.....GO:0016310	u	4.605	5.213	0.883	53	1151	60	1151	0.563	1	phosphorylation	P00358, P00359, P00360, P00549, P00560, P00924, P00925, P00942, P00950, P04806, P04807, P06101, P07170, P08566, P10869, P12709, P14540, P15454, P15700, P15790, P16387, P16861, P16862, P17157, P17423, P17709, P19454, P21373, P21965, P23292, P23293, P29295, P31116, P32190, P32264, P32473, P32776, P35169, P36010, P38689, P39073, P40160, P42938, P47075, P47143, P54838, Q01217, Q01389, Q02196, Q04409, Q04673, Q06685, Q12265
......GO:0009129	o	0.695	0.434	1.600	8	1151	5	1151	0.58	1	pyrimidine nucleoside monophosphate metabolic process	P06785, P07259, P13298, P18562, P20051, P28272, P42938, Q12178
....GO:0001671	o	0.695	0.434	1.600	8	1151	5	1151	0.58	1	ATPase activator activity	P25491, P32602, P35191, P53193, P53743, P53940, Q07914, Q12449
....GO:0007031	u	0.434	0.695	0.625	5	1151	8	1151	0.58	1	peroxisome organization	P07248, P21576, Q00055, Q04947, Q12402
..GO:0032155	u	0.434	0.695	0.625	5	1151	8	1151	0.58	1	cell division site part	P17536, P32457, P32468, P60010, Q06440
....GO:0016301	u	3.562	4.083	0.872	41	1151	47	1151	0.587	1	kinase activity	P00549, P00560, P04806, P04807, P07170, P08566, P10869, P15454, P15700, P15790, P16861, P16862, P17157, P17423, P17709, P18562, P19454, P21373, P21965, P23292, P23293, P29295, P31116, P32190, P32264, P32776, P35169, P36010, P38689, P39073, P40160, P42938, P47075, P47143, P54838, Q01217, Q01389, Q02196, Q04409, Q06685, Q12265
..GO:0030029	u	1.216	1.564	0.778	14	1151	18	1151	0.594	1	actin filament-based process	P15891, P21576, P25343, P25369, P32521, P38266, P39960, P40531, P53141, P53313, P53927, P60010, Q03048, Q12156
...GO:0016835	o	1.651	1.303	1.267	19	1151	15	1151	0.605	1	carbon-oxygen lyase activity	P00924, P00925, P00931, P05750, P06106, P07149, P07264, P08417, P08566, P16120, P19414, P22936, P28777, P31378, P32582, P36059, P39522, P39533, Q12428
....GO:0048308	u	1.303	1.651	0.789	15	1151	19	1151	0.605	1	organelle inheritance	P17536, P21147, P22217, P32939, P39968, P40075, P40961, P43621, P47117, P60010, Q02486, Q04947, Q05933, Q12402, Q99287
......GO:0009218	o	0.782	0.521	1.500	9	1151	6	1151	0.606	1	pyrimidine ribonucleotide metabolic process	P07259, P13298, P18562, P20051, P28272, P28274, P36010, P42938, Q12178
....GO:0048584	u	0.521	0.782	0.667	6	1151	9	1151	0.606	1	positive regulation of response to stimulus	P12383, P25357, P39935, Q01389, Q05958, Q08421
....GO:0016042	u	0.521	0.782	0.667	6	1151	9	1151	0.606	1	lipid catabolic process	P28817, P32419, P38139, P41338, Q12428, Q12480
....GO:0034605	o	1.738	1.390	1.250	20	1151	16	1151	0.615	1	cellular response to heat	P09959, P15108, P15731, P15992, P21965, P22579, P22943, P25302, P31385, P31539, P31688, P32499, P33416, P34760, P35169, P39705, P40505, Q00764, Q05166, Q12449
......GO:0051493	u	1.477	1.825	0.810	17	1151	21	1151	0.624	1	regulation of cytoskeleton organization	P15891, P28495, P32471, P32499, P32521, P38266, P40517, P41920, P42073, P47117, P53168, P53267, Q05933, Q06440, Q06449, Q06685, Q12156
......GO:1902932	o	0.261	0.087	3.000	3	1151	1	1151	0.625	1	positive regulation of alcohol biosynthetic process	P17106, P31385, Q05958
......GO:1903727	o	0.261	0.087	3.000	3	1151	1	1151	0.625	1	positive regulation of phospholipid metabolic process	P17157, P31385, P39001
......GO:0090088	o	0.261	0.087	3.000	3	1151	1	1151	0.625	1	regulation of oligopeptide transport	P14922, P16649, P19812
.....GO:0042816	o	0.261	0.087	3.000	3	1151	1	1151	0.625	1	vitamin B6 metabolic process	P38075, Q06494, Q12189
....GO:0051100	o	0.261	0.087	3.000	3	1151	1	1151	0.625	1	negative regulation of binding	P28707, P29056, Q06411
....GO:0030543	o	0.261	0.087	3.000	3	1151	1	1151	0.625	1	2-micrometer plasmid partitioning	P03871, P03872, Q04002
....GO:0034367	o	0.261	0.087	3.000	3	1151	1	1151	0.625	1	macromolecular complex remodeling	P29055, P29056, P46678
.....GO:0032104	u	0.087	0.261	0.333	1	1151	3	1151	0.625	1	regulation of response to extracellular stimulus	Q05958
..GO:0140029	u	0.087	0.261	0.333	1	1151	3	1151	0.625	1	exocytic process	P07560
.....GO:1905037	u	0.087	0.261	0.333	1	1151	3	1151	0.625	1	autophagosome organization	P29295
....GO:0042726	u	0.087	0.261	0.333	1	1151	3	1151	0.625	1	flavin-containing compound metabolic process	P50861
...GO:0017171	u	0.087	0.261	0.333	1	1151	3	1151	0.625	1	serine hydrolase activity	P36775
....GO:0000103	u	0.087	0.261	0.333	1	1151	3	1151	0.625	1	sulfate assimilation	Q02196
...GO:0003756	u	0.087	0.261	0.333	1	1151	3	1151	0.625	1	protein disulfide isomerase activity	P17967
...GO:0051668	u	0.087	0.261	0.333	1	1151	3	1151	0.625	1	localization within membrane	P49687
.....GO:0006206	o	0.869	0.608	1.429	10	1151	7	1151	0.628	1	pyrimidine nucleobase metabolic process	P03965, P07259, P13298, P15700, P18562, P20051, P28272, P28274, P42938, Q12178
.....GO:0006084	o	0.869	0.608	1.429	10	1151	7	1151	0.628	1	acetyl-CoA metabolic process	P00890, P12695, P16387, P16451, P19262, P32377, P32473, P52910, Q00955, Q01574
....GO:0006112	u	0.608	0.869	0.700	7	1151	10	1151	0.628	1	energy reserve metabolic process	P06738, P29311, P32861, P34730, P37012, P37898, P40043
.....GO:0006869	u	0.608	0.869	0.700	7	1151	10	1151	0.628	1	lipid transport	P24280, P30624, P31787, P47008, P53860, Q02201, Q12408
....GO:0033750	o	1.911	1.564	1.222	22	1151	18	1151	0.633	1	ribosome localization	P05750, P0CH08, P11484, P14907, P20676, P25627, P30822, P32527, P38805, P38883, P39715, P40010, P40024, P40517, P47077, P53313, P53742, Q02892, Q03195, Q06338, Q08746, Q12080
....GO:0008483	o	0.956	0.695	1.375	11	1151	8	1151	0.646	1	transaminase activity	P07991, P14742, P23542, P33330, P38891, P47039, P47176, P48015, P52893, P53090, Q01802
....GO:0005096	u	0.695	0.956	0.727	8	1151	11	1151	0.646	1	GTPase activator activity	P20424, P25365, P32499, P38431, P39960, P40517, P41920, Q12434
.....GO:0007346	o	2.259	1.911	1.182	26	1151	22	1151	0.662	1	regulation of mitotic cell cycle	P06786, P21951, P22147, P25588, P29311, P31383, P32499, P32582, P35187, P38850, P38934, P39073, P40316, P40457, P40466, P40517, P41813, P41920, P42073, P53148, P53313, Q01389, Q02455, Q03790, Q07457, Q12114
....GO:0051646	u	0.782	1.043	0.750	9	1151	12	1151	0.662	1	mitochondrion localization	P07991, P17536, P21147, P40961, P47117, P60010, Q02486, Q03690, Q05933
...GO:0104004	u	0.782	1.043	0.750	9	1151	12	1151	0.662	1	cellular response to environmental stimulus	P00445, P06115, P16965, P19454, P21965, P22943, P32356, P33892, Q00764
...GO:0042026	o	1.129	0.869	1.300	13	1151	10	1151	0.676	1	protein refolding	P02829, P10591, P15108, P19882, P25491, P31539, P32589, P32590, P33416, P35191, P38523, P38910, P53691
....GO:0005815	o	1.129	0.869	1.300	13	1151	10	1151	0.676	1	microtubule organizing center	P29295, P30822, P31383, P32499, P32504, P38198, P40457, P40517, P41920, P53148, P53267, P53865, Q02455
....GO:0031669	u	0.869	1.129	0.769	10	1151	13	1151	0.676	1	cellular response to nutrient levels	P02994, P03965, P11484, P13587, P22082, P33892, P39986, P43535, P46784, P53628
.....GO:0071407	o	0.348	0.174	2.000	4	1151	2	1151	0.687	1	cellular response to organic cyclic compound	P12383, P32527, P33892, P43535
...GO:0043954	o	0.348	0.174	2.000	4	1151	2	1151	0.687	1	cellular component maintenance	P23615, P38144, Q04947, Q06505
....GO:0016799	o	0.348	0.174	2.000	4	1151	2	1151	0.687	1	hydrolase activity, hydrolyzing N-glycosyl compounds	P05750, P12887, P22134, P31378
....GO:0006002	o	0.348	0.174	2.000	4	1151	2	1151	0.687	1	fructose 6-phosphate metabolic process	P09201, P14742, P16861, P16862
....GO:0007020	o	0.348	0.174	2.000	4	1151	2	1151	0.687	1	microtubule nucleation	P32380, P38198, P53148, P53865
........GO:2000756	o	0.348	0.174	2.000	4	1151	2	1151	0.687	1	regulation of peptidyl-lysine acetylation	P32447, P32657, P38827, Q02336
....GO:0006986	u	0.174	0.348	0.500	2	1151	4	1151	0.687	1	response to unfolded protein	P16474, P38910
...GO:0008360	u	0.174	0.348	0.500	2	1151	4	1151	0.687	1	regulation of cell shape	P23292, P29295
.....GO:0015850	u	0.174	0.348	0.500	2	1151	4	1151	0.687	1	organic hydroxy compound transport	Q02201, Q12408
.....GO:0043269	u	0.174	0.348	0.500	2	1151	4	1151	0.687	1	regulation of ion transport	P04840, P46956
...GO:0046677	u	0.174	0.348	0.500	2	1151	4	1151	0.687	1	response to antibiotic	P02406, P33302
....GO:0046434	u	0.174	0.348	0.500	2	1151	4	1151	0.687	1	organophosphate catabolic process	P47119, Q00055
...GO:0004602	u	0.174	0.348	0.500	2	1151	4	1151	0.687	1	glutathione peroxidase activity	P17695, P40581
....GO:0005801	u	0.174	0.348	0.500	2	1151	4	1151	0.687	1	cis-Golgi network	P01123, P39986
.....GO:0045787	o	1.216	0.956	1.273	14	1151	11	1151	0.688	1	positive regulation of cell cycle	P09959, P14832, P22147, P32499, P32582, P34216, P40466, P40517, P41813, P41920, P42073, P53168, P53267, P53313
...GO:0031967	o	1.216	0.956	1.273	14	1151	11	1151	0.688	1	organelle envelope	P07261, P12684, P15565, P21957, P27476, P33331, P38121, P40075, P40457, Q02455, Q02724, Q03281, Q03532, Q03707
....GO:0060249	o	1.216	0.956	1.273	14	1151	11	1151	0.688	1	anatomical structure homeostasis	P06778, P15108, P25555, P25588, P29539, P35187, P38121, P38199, P38827, P38859, P39015, Q07457, Q12345, Q6Q547
....GO:0006818	u	2.346	2.693	0.871	27	1151	31	1151	0.69	1	hydrogen transport	P00427, P00830, P04037, P05030, P05626, P07251, P07256, P07257, P09457, P16140, P16861, P16862, P17255, P22203, P25297, P30902, P31412, P32563, P38077, P38695, P39004, P39111, P41807, P48836, Q06405, Q06493, Q08179
......GO:0070585	o	2.954	2.606	1.133	34	1151	30	1151	0.704	1	protein localization to mitochondrion	P00830, P00890, P02829, P04037, P04710, P04840, P07213, P07251, P0CS91, P10507, P10591, P11914, P15705, P19414, P19882, P25491, P28834, P36112, P36147, P38300, P38523, P38910, P39925, P39952, P40202, P42949, P53193, Q01852, Q02776, Q06493, Q07540, Q07914, Q08179, Q12287
...GO:0016765	u	1.129	1.390	0.813	13	1151	16	1151	0.709	1	transferase activity, transferring alkyl or aryl (other than methyl) groups	P06106, P08524, P08566, P10659, P17695, P19358, P29547, P29704, P31373, P32449, P36008, P38791, Q12074
....GO:0016125	u	1.129	1.390	0.813	13	1151	16	1151	0.709	1	sterol metabolic process	P08524, P12684, P25087, P29704, P32353, P32377, P32462, P40312, P41338, P53199, P53860, P54839, Q02201
...GO:0009055	u	1.216	1.477	0.824	14	1151	17	1151	0.718	1	electron transfer activity	P00044, P00427, P04037, P07256, P07257, P09624, P17695, P21147, P40312, P41921, P42940, Q00711, Q08822, Q12480
.....GO:0045912	o	0.434	0.261	1.667	5	1151	3	1151	0.726	1	negative regulation of carbohydrate metabolic process	P17157, P28263, P31385, P39001, Q12508
....GO:0016774	o	0.434	0.261	1.667	5	1151	3	1151	0.726	1	phosphotransferase activity, carboxyl group as acceptor	P00560, P10869, P31116, P32264, Q01217
....GO:0016624	o	0.434	0.261	1.667	5	1151	3	1151	0.726	1	oxidoreductase activity, acting on the aldehyde or oxo group of donors, disulfide as acceptor	P09624, P16387, P19955, P20967, P32473
..GO:0019953	o	0.434	0.261	1.667	5	1151	3	1151	0.726	1	sexual reproduction	P13574, P25343, P35177, P38255, Q12114
......GO:0008409	o	0.434	0.261	1.667	5	1151	3	1151	0.726	1	5'-3' exonuclease activity	P16550, P22147, P26793, Q02792, Q04344
...GO:0032844	u	0.261	0.434	0.600	3	1151	5	1151	0.726	1	regulation of homeostatic process	P02829, P28707, P38011
.GO:0060089	u	0.261	0.434	0.600	3	1151	5	1151	0.726	1	molecular transducer activity	P17157, P23293, P39073
......GO:0015698	u	0.261	0.434	0.600	3	1151	5	1151	0.726	1	inorganic anion transport	P25297, P38264, P46956
.....GO:1901264	u	0.261	0.434	0.600	3	1151	5	1151	0.726	1	carbohydrate derivative transport	P04710, P18239, P32571
....GO:0048284	u	1.477	1.738	0.850	17	1151	20	1151	0.741	1	organelle fusion	P06787, P07560, P16474, P22147, P22217, P25694, P29295, P32380, P32602, P36015, P39109, P39968, P40046, P43585, P47075, Q02725, Q99287
.......GO:0006083	o	0.521	0.348	1.500	6	1151	4	1151	0.753	1	acetate metabolic process	P40047, P46367, P52910, P54115, Q01574, Q04545
....GO:0002183	o	0.521	0.348	1.500	6	1151	4	1151	0.753	1	cytoplasmic translational initiation	P38249, P47089, P89886, Q03690, Q04067, Q04600
....GO:0046912	o	0.521	0.348	1.500	6	1151	4	1151	0.753	1	transferase activity, transferring acyl groups, acyl groups converted into alkyl on transfer	P00890, P06208, P48570, P54839, Q12122, Q12166
.......GO:0001932	u	1.651	1.911	0.864	19	1151	22	1151	0.753	1	regulation of protein phosphorylation	P02994, P06101, P07278, P16521, P17442, P25357, P32447, P32468, P33892, P35169, P38351, P46784, P53064, P53252, P89105, Q01389, Q02792, Q06697, Q12230
....GO:0023056	u	0.348	0.521	0.667	4	1151	6	1151	0.753	1	positive regulation of signaling	P25357, P39935, Q01389, Q08421
....GO:0044439	u	0.348	0.521	0.667	4	1151	6	1151	0.753	1	peroxisomal part	P12684, P32419, P38137, P40581
....GO:0007029	u	0.348	0.521	0.667	4	1151	6	1151	0.753	1	endoplasmic reticulum organization	P40075, Q04947, Q12402, Q99287
...GO:0097164	u	0.348	0.521	0.667	4	1151	6	1151	0.753	1	ammonium ion metabolic process	P05374, P17898, P39954, Q12074
....GO:0071229	o	0.608	0.434	1.400	7	1151	5	1151	0.774	1	cellular response to acid chemical	P00445, P07248, P16965, P32356, P40535, P43535, Q00764
.......GO:1903050	o	0.608	0.434	1.400	7	1151	5	1151	0.774	1	regulation of proteolysis involved in cellular protein catabolic process	P33297, P33298, P33299, P40327, P43583, P53549, Q01939
...GO:0016638	o	0.608	0.434	1.400	7	1151	5	1151	0.774	1	oxidoreductase activity, acting on the CH-NH2 group of donors	P07262, P09624, P33327, P38075, P39726, P48015, P49095
....GO:0000302	o	0.608	0.434	1.400	7	1151	5	1151	0.774	1	response to reactive oxygen species	P00445, P00447, P06115, P11412, P33892, P38205, P38345
