id	perc_enrichment_study	perc_enrichment_pop	fold_enrichment_study2pop	study_count	study_n	pop_count	pop_n	p_uncorrected	p_benjamini_hochberg	ANs_study
NAD	3.6	3.0	1.18	40	1125	34	1125	0.555	1	P00330,P00331,P00358,P00359,P00360,P00815,P07149,P07246,P07275,P09624,P17505,P19097,P21373,P28241,P28834,P32340,P32419,P32614,P32771,P33327,P36013,P36059,P38115,P38626,P38791,P39676,P39714,P39954,P40047,P40495,P40510,P46367,P50094,P50095,P53199,Q00055,Q02046,Q02961,Q06053,Q06178
Multifunctional enzyme	1.8	1.5	1.18	20	1125	17	1125	0.741	1	P00815,P00937,P06106,P07149,P07244,P07245,P07259,P08566,P09440,P0C2I9,P19097,P29704,P32327,P38009,P38859,P54113,Q00955,Q01217,Q03434,Q04728
Tricarboxylic acid cycle	1.2	1.0	1.18	13	1125	11	1125	0.838	1	P00890,P08417,P17505,P19262,P19414,P20967,P21954,P28241,P28834,P32419,P53312,P53598,Q00711
Centromere	0.6	0.5	1.17	7	1125	6	1125	1	1	P17106,P32504,P33322,P38198,P53148,P53168,P53267
Nucleotidyltransferase	1.3	1.2	1.15	15	1125	13	1125	0.85	1	P0C2I9,P10964,P13382,P15436,P16550,P17890,P21269,P21951,P22138,P32861,P46957,P47110,Q01080,Q03434,Q06178
Nucleotide-binding	19.2	16.9	1.14	216	1125	190	1125	0.17	1	P00498,P00549,P00560,P00815,P00830,P00958,P01120,P01123,P02829,P02994,P03965,P04801,P04802,P04803,P04806,P04807,P05030,P05453,P06634,P06786,P07170,P07244,P07245,P07251,P07259,P07263,P07278,P07284,P07560,P07806,P08566,P09435,P09436,P09440,P0C2I9,P10081,P10591,P10592,P10659,P10869,P11076,P11484,P12612,P13188,P13587,P14682,P15108,P15180,P15424,P15454,P15624,P15625,P15700,P15731,P15790,P16474,P16521,P16550,P16861,P16862,P17157,P17255,P17423,P17709,P18562,P19358,P19454,P19882,P20095,P20424,P20447,P20448,P20449,P21269,P21373,P21576,P21965,P22082,P22515,P23292,P23293,P24384,P24783,P25039,P25371,P25694,P26637,P27616,P28263,P28273,P28274,P29295,P29468,P30624,P31412,P31539,P32190,P32264,P32288,P32324,P32327,P32377,P32457,P32468,P32589,P32590,P32597,P32639,P32657,P32892,P32939,P33297,P33298,P33299,P33302,P33416,P35169,P35187,P36009,P36010,P36018,P36059,P36421,P36775,P38086,P38088,P38112,P38116,P38144,P38219,P38431,P38625,P38630,P38689,P38705,P38707,P38708,P38788,P38859,P38972,P39002,P39073,P39077,P39078,P39079,P39109,P39517,P39730,P39925,P39986,P40010,P40024,P40151,P40160,P40327,P40348,P40413,P40562,P40825,P41896,P41940,P42938,P43535,P46655,P47037,P47047,P47079,P47117,P47119,P47143,P48525,P49089,P52488,P52910,P53063,P53312,P53549,P53598,P53742,P53852,P53914,P54838,P60010,P80210,Q00416,Q00955,Q01163,Q01217,Q01389,Q01574,Q01852,Q01939,Q02159,Q02196,Q02892,Q03195,Q03434,Q03532,Q03940,Q04178,Q04217,Q04344,Q04409,Q04500,Q05506,Q06178,Q06218,Q06685,Q07478,Q08965,Q08972,Q12109,Q12154,Q12265,Q12389,Q99287
Zinc	7.5	6.6	1.14	84	1125	74	1125	0.458	1	P00330,P00331,P00445,P00815,P04037,P05694,P05759,P07246,P07248,P08566,P09064,P0C2I9,P0CX25,P10507,P10964,P12383,P13382,P14540,P15436,P19812,P20051,P21951,P22138,P22936,P25375,P25491,P25502,P29055,P29056,P29952,P32327,P32432,P32454,P32771,P32898,P35191,P35997,P36053,P36124,P37302,P37898,P39001,P39010,P39714,P39925,P39956,P40151,P40202,P40825,P41057,P41058,P41696,P43609,P43616,P46969,P49166,P52488,P53184,P53852,P53909,P53940,Q01662,Q02336,Q02775,Q02890,Q03012,Q03434,Q03833,Q04545,Q04673,Q04779,Q04894,Q05580,Q05958,Q06053,Q06224,Q06639,Q07457,Q08422,Q08923,Q12154,Q12178,Q12186,Q12211
Amino-acid biosynthesis	3.8	3.4	1.13	43	1125	38	1125	0.651	1	P00498,P00815,P00899,P00927,P00931,P00937,P03965,P05694,P06106,P06168,P06208,P07245,P07264,P07342,P08465,P08566,P09440,P10869,P13663,P16120,P17423,P28777,P31116,P31373,P32264,P32449,P32582,P33330,P38891,P39522,P39533,P40495,P40510,P40545,P47176,P48570,P49089,P54885,Q01217,Q02196,Q04728,Q12122,Q12166
tRNA processing	1.5	1.3	1.13	17	1125	15	1125	0.859	1	P15565,P25374,P38205,P38336,P38793,P41812,P41814,P53072,P53833,P53905,Q00416,Q01329,Q03774,Q06053,Q06406,Q08647,Q12211
mRNA transport	1.6	1.4	1.13	18	1125	16	1125	0.863	1	P04147,P14907,P20449,P20676,P32499,P36036,P38199,P39517,P39705,P40069,P43586,P49687,Q02455,Q03280,Q03790,Q05166,Q07478,Q08972
Phosphoprotein	53.2	47.8	1.11	599	1125	538	1125	0.0114	0.204	O13297,O14467,P00330,P00331,P00358,P00359,P00445,P00447,P00549,P00560,P00817,P00830,P00899,P00924,P00925,P00931,P00937,P00942,P00950,P01120,P01123,P02293,P02309,P02829,P02994,P04037,P04147,P04449,P04801,P04802,P04806,P04807,P04840,P04911,P05030,P05317,P05453,P05626,P05694,P05739,P05740,P05750,P05755,P05756,P05759,P06101,P06105,P06106,P06168,P06169,P06634,P06738,P06778,P06786,P06787,P06843,P07149,P07213,P07244,P07245,P07248,P07251,P07253,P07257,P07259,P07260,P07264,P07278,P07283,P07560,P07806,P08417,P09064,P09436,P09440,P09798,P09938,P09959,P0C2I9,P0CX23,P0CX25,P0CX31,P0CX33,P0CX35,P0CX37,P0CX39,P0CX43,P0CX45,P0CX53,P0CX84,P10080,P10081,P10507,P10591,P10592,P10869,P10964,P11412,P11484,P12383,P12385,P12684,P12709,P12945,P13188,P13298,P13382,P13574,P13663,P14126,P14164,P14540,P14682,P14742,P14832,P14906,P14907,P14922,P15108,P15180,P15436,P15454,P15705,P15731,P15891,P15992,P16120,P16140,P16387,P16521,P16550,P16649,P16861,P16862,P16965,P17106,P17157,P17255,P17442,P17505,P17536,P17629,P17695,P17709,P17890,P17891,P18480,P18562,P18888,P19097,P19262,P19263,P19414,P19659,P19812,P19882,P20134,P20448,P20449,P20676,P21243,P21373,P21538,P21576,P21957,P21965,P22082,P22134,P22138,P22141,P22147,P22515,P22579,P22936,P22943,P23248,P23254,P23255,P23292,P23293,P23301,P23542,P23615,P24280,P24783,P25037,P25087,P25297,P25302,P25357,P25365,P25371,P25375,P25441,P25451,P25554,P25555,P25567,P25582,P25588,P25694,P26321,P26637,P26783,P26785,P26793,P27692,P28241,P28273,P28495,P28817,P29056,P29295,P29311,P29468,P29509,P29539,P29547,P29952,P30822,P31373,P31385,P31539,P32074,P32288,P32324,P32356,P32379,P32380,P32432,P32457,P32463,P32471,P32494,P32497,P32499,P32504,P32521,P32527,P32558,P32561,P32565,P32571,P32582,P32583,P32589,P32591,P32597,P32614,P32639,P32657,P32776,P32832,P32861,P32892,P32898,P32901,P33203,P33297,P33299,P33302,P33322,P33327,P33330,P33399,P33417,P33442,P34167,P34216,P34219,P34227,P34237,P34760,P35177,P35691,P35719,P35817,P36010,P36015,P36018,P36047,P36049,P36053,P36059,P36084,P36124,P36154,P36160,P36421,P37012,P37291,P37303,P37838,P38011,P38013,P38071,P38088,P38112,P38115,P38121,P38129,P38144,P38198,P38199,P38205,P38219,P38249,P38264,P38266,P38333,P38336,P38351,P38431,P38630,P38708,P38720,P38788,P38827,P38833,P38845,P38850,P38859,P38879,P38882,P38891,P38910,P38911,P38920,P38931,P38934,P38961,P38996,P39001,P39004,P39010,P39015,P39077,P39079,P39109,P39520,P39521,P39676,P39678,P39705,P39714,P39715,P39730,P39744,P39927,P39935,P39954,P39956,P39960,P39968,P39986,P40002,P40007,P40010,P40019,P40024,P40029,P40040,P40069,P40075,P40106,P40154,P40160,P40161,P40212,P40317,P40457,P40470,P40495,P40505,P40510,P40513,P40517,P40531,P40535,P40693,P40825,P41057,P41058,P41277,P41696,P41805,P41810,P41811,P41812,P41813,P41895,P41896,P41920,P41940,P42846,P43579,P43583,P43585,P43586,P43603,P43609,P43616,P43621,P45976,P46367,P46655,P46669,P46678,P46957,P46990,P47006,P47047,P47079,P47083,P47110,P47120,P48164,P48234,P48361,P48570,P48606,P49089,P49573,P49687,P49723,P50094,P50105,P52893,P52910,P53044,P53063,P53064,P53072,P53079,P53090,P53148,P53235,P53252,P53254,P53261,P53267,P53276,P53278,P53297,P53312,P53313,P53438,P53551,P53617,P53725,P53741,P53742,P53743,P53852,P53854,P53865,P53883,P53914,P53946,P54838,P54839,P61830,P69771,P80428,P89105,Q00055,Q00955,Q01080,Q01217,Q01329,Q01389,Q01448,Q01454,Q01476,Q01560,Q02196,Q02201,Q02206,Q02326,Q02455,Q02642,Q02724,Q02725,Q02775,Q02792,Q02892,Q02950,Q03012,Q03048,Q03063,Q03195,Q03280,Q03281,Q03373,Q03388,Q03434,Q03532,Q03558,Q03661,Q03690,Q03707,Q03750,Q03761,Q03774,Q03790,Q03833,Q04031,Q04067,Q04116,Q04217,Q04225,Q04226,Q04347,Q04409,Q04500,Q04545,Q04660,Q04773,Q04779,Q04869,Q04894,Q04947,Q05021,Q05022,Q05040,Q05050,Q05166,Q05506,Q05580,Q05775,Q05812,Q05905,Q05942,Q05958,Q06103,Q06106,Q06177,Q06178,Q06205,Q06224,Q06337,Q06338,Q06344,Q06440,Q06449,Q06505,Q06506,Q06511,Q06624,Q06631,Q06639,Q06673,Q06685,Q06697,Q06704,Q07478,Q07551,Q07878,Q08208,Q08245,Q08421,Q08422,Q08649,Q08686,Q08887,Q08923,Q08965,Q08972,Q12020,Q12080,Q12114,Q12118,Q12122,Q12136,Q12149,Q12156,Q12159,Q12186,Q12230,Q12265,Q12305,Q12306,Q12314,Q12329,Q12345,Q12363,Q12389,Q12433,Q12434,Q12460,Q12495,Q12513,Q12514,Q12515,Q12754,Q6Q547,Q99216,Q99314,Q99383
Oxidoreductase	8.4	7.7	1.08	94	1125	87	1125	0.642	1	P00330,P00331,P00358,P00359,P00360,P00427,P00445,P00447,P00815,P04037,P06115,P06168,P07149,P07245,P07246,P07262,P07275,P08566,P09440,P09624,P09938,P11412,P12684,P13663,P16387,P17505,P19097,P20967,P21147,P21954,P23180,P28241,P28272,P28834,P29509,P29704,P31116,P32340,P32353,P32419,P32462,P32473,P32614,P32771,P33327,P34227,P34760,P36013,P36136,P36141,P38013,P38071,P38075,P38115,P38626,P38720,P38787,P39676,P39714,P39976,P40012,P40029,P40047,P40495,P40510,P40553,P40581,P41921,P46367,P46681,P47120,P48360,P49095,P49723,P50094,P50095,P53199,P53318,P54115,P54885,Q00055,Q00711,Q01217,Q02046,Q02961,Q03102,Q03558,Q04894,Q06053,Q06494,Q07540,Q07551,Q08822,Q12458
Protein biosynthesis	4.7	4.4	1.08	53	1125	49	1125	0.761	1	P00958,P02994,P04801,P04802,P04803,P05453,P06634,P07260,P07263,P07284,P07806,P09064,P09436,P10081,P11484,P12385,P13188,P15180,P15624,P15625,P16521,P23301,P25039,P26637,P29547,P32324,P32471,P32497,P32911,P33309,P34167,P35691,P36008,P36421,P38088,P38249,P38431,P38705,P38707,P38708,P39730,P39935,P40825,P46655,P48525,P53235,P53852,P89886,Q03195,Q04067,Q05506,Q05775,Q12109
rRNA-binding	1.2	1.1	1.08	13	1125	12	1125	1	1	P04456,P05755,P0C0W9,P0CX35,P0CX45,P0CX47,P0CX55,P16521,P26321,P32324,P38805,P49166,Q06287
Isopeptide bond	4.1	3.8	1.07	46	1125	43	1125	0.829	1	P00445,P02293,P04456,P04911,P05030,P05750,P05759,P07262,P0CX35,P10591,P10592,P15873,P19358,P21538,P25297,P25694,P28274,P31378,P31539,P32288,P32353,P32457,P32657,P33302,P35719,P35723,P37303,P38075,P38695,P38701,P39004,P39976,P40043,P40531,P41277,P47079,P52910,P54115,P89105,Q02908,Q05911,Q06449,Q06624,Q08245,Q12018,Q12306
Lyase	2.6	2.4	1.07	29	1125	27	1125	0.893	1	P00899,P00924,P00925,P00927,P00931,P00937,P06169,P07149,P07264,P08417,P08566,P14540,P16120,P16622,P19414,P22936,P25379,P28777,P31373,P31378,P32377,P32582,P36059,P37303,P39522,P39533,Q04792,Q05911,Q12428
Direct protein sequencing	29.4	27.8	1.06	331	1125	313	1125	0.428	1	O14467,P00044,P00330,P00331,P00358,P00359,P00360,P00427,P00445,P00447,P00560,P00817,P00830,P00890,P00899,P00924,P00925,P00942,P00950,P00958,P01120,P01123,P02293,P02309,P02994,P04037,P04147,P04456,P04802,P04806,P04807,P04840,P05030,P05626,P05694,P05737,P05738,P05739,P05740,P05744,P05747,P05748,P05749,P05750,P05755,P05756,P05759,P06106,P06115,P06168,P06169,P06738,P06785,P06787,P07170,P07244,P07259,P07262,P07278,P07280,P08417,P09436,P09440,P0C0T4,P0C0W9,P0C2H8,P0CX31,P0CX33,P0CX35,P0CX37,P0CX39,P0CX45,P0CX47,P0CX53,P0CX55,P10081,P10507,P10591,P10592,P10659,P10664,P11412,P11484,P11914,P12687,P12695,P12945,P13393,P13712,P14120,P14126,P14164,P14540,P14832,P15108,P15180,P15454,P15624,P15625,P15646,P15705,P15731,P15790,P15873,P15891,P16140,P16387,P16451,P16521,P16547,P16550,P16622,P16861,P16862,P16965,P17076,P17106,P17255,P17423,P17505,P17695,P17890,P17891,P17967,P19263,P19414,P19454,P19882,P19955,P21243,P21269,P21538,P21951,P21954,P21965,P22134,P22138,P22141,P22147,P22203,P22217,P22354,P22515,P22936,P22943,P23248,P23254,P23255,P23301,P23542,P24280,P25443,P25567,P25719,P26321,P26783,P26784,P26785,P26793,P28241,P28274,P28495,P28834,P29453,P29468,P29509,P29547,P29952,P30624,P30902,P31116,P31373,P31412,P31688,P32288,P32324,P32340,P32342,P32419,P32445,P32471,P32473,P32495,P32496,P32504,P32521,P32527,P32563,P32565,P32589,P32597,P32602,P32614,P32776,P33203,P33297,P33298,P33302,P33322,P33416,P34760,P35189,P35691,P36018,P36421,P36534,P36775,P37012,P37291,P37302,P38009,P38011,P38013,P38071,P38077,P38115,P38129,P38137,P38219,P38351,P38431,P38523,P38625,P38687,P38701,P38720,P38879,P38910,P39015,P39676,P39678,P40018,P40046,P40069,P40075,P40106,P40185,P40327,P40495,P40513,P40531,P41057,P41058,P41277,P41338,P41810,P41811,P41895,P41896,P43555,P43572,P43579,P43583,P43585,P43588,P43609,P43621,P46367,P46669,P46672,P46678,P46957,P46964,P46990,P47075,P47124,P48836,P49166,P49723,P53040,P53063,P53163,P53184,P53193,P53221,P53252,P53261,P53549,P53622,P53723,P53852,P53860,P53875,P54115,P54838,P60010,P61830,P80210,P80428,Q00055,Q00711,Q00764,Q00955,Q01454,Q01662,Q01852,Q01939,Q02046,Q02486,Q02642,Q02725,Q02792,Q03048,Q03558,Q03690,Q03973,Q04226,Q04728,Q04947,Q05123,Q05635,Q06103,Q06178,Q06405,Q06639,Q07551,Q08245,Q12118,Q12159,Q12230,Q12250,Q12287,Q12309,Q12345,Q12377,Q12402,Q12408,Q12495,Q12692,Q6Q547,Q99383
Glycolysis	1.7	1.6	1.06	19	1125	18	1125	1	1	P00358,P00359,P00360,P00549,P00560,P00924,P00925,P00942,P00950,P04806,P04807,P12709,P14540,P16387,P16861,P16862,P17709,P32473,Q04409
FAD	1.5	1.4	1.06	17	1125	16	1125	1	1	P09624,P29509,P32340,P32614,P38626,P39676,P39976,P40012,P41921,P42940,P46681,P48360,P53318,Q00711,Q06053,Q08822,Q12480
3D-structure	38.6	36.9	1.05	434	1125	415	1125	0.434	1	O13297,P00044,P00330,P00359,P00445,P00447,P00549,P00560,P00817,P00830,P00924,P00942,P00950,P00958,P01123,P02293,P02309,P02406,P02407,P02829,P02994,P04037,P04147,P04449,P04456,P04802,P04806,P04807,P04911,P05317,P05453,P05737,P05738,P05740,P05744,P05747,P05748,P05749,P05750,P05756,P05759,P06169,P06738,P06786,P06787,P07149,P07170,P07213,P07248,P07251,P07256,P07257,P07260,P07275,P07278,P07280,P07342,P07560,P08417,P09064,P09624,P09938,P09959,P0C0W9,P0C2H6,P0C2H8,P0CX23,P0CX25,P0CX29,P0CX31,P0CX33,P0CX35,P0CX37,P0CX39,P0CX41,P0CX43,P0CX45,P0CX47,P0CX49,P0CX53,P0CX55,P0CX84,P10081,P10507,P10591,P10664,P10964,P11076,P11484,P11632,P11914,P12385,P12612,P12687,P12945,P13188,P13298,P13382,P13393,P13574,P14120,P14126,P14832,P14907,P15424,P15436,P15454,P15700,P15705,P15731,P15790,P15873,P15891,P16120,P16474,P16521,P16622,P16649,P16861,P16862,P17076,P17157,P17255,P17505,P17695,P17967,P18239,P19097,P19659,P19812,P20449,P20676,P21243,P21951,P21954,P22082,P22138,P22141,P22203,P22217,P22354,P22515,P22943,P23254,P23301,P23542,P23615,P24280,P25372,P25443,P25451,P25491,P25502,P25554,P25627,P26321,P26783,P26784,P26785,P27616,P27692,P28241,P28707,P28777,P28834,P29055,P29056,P29468,P29509,P29539,P29547,P30822,P31116,P31373,P31412,P31787,P32288,P32324,P32340,P32377,P32379,P32380,P32447,P32449,P32471,P32495,P32496,P32497,P32499,P32504,P32527,P32558,P32563,P32565,P32589,P32591,P32602,P32639,P32657,P32776,P32861,P32911,P32939,P33201,P33203,P33297,P33298,P33299,P33309,P33322,P33331,P33411,P33442,P33891,P34216,P34760,P35169,P35187,P35189,P35997,P36010,P36015,P36136,P36141,P36149,P36151,P36421,P36534,P38011,P38013,P38074,P38075,P38077,P38115,P38116,P38121,P38129,P38144,P38158,P38197,P38249,P38276,P38431,P38624,P38630,P38636,P38698,P38701,P38720,P38754,P38768,P38777,P38801,P38804,P38827,P38850,P38920,P38996,P39015,P39077,P39078,P39079,P39111,P39517,P39678,P39730,P39935,P39938,P39956,P40019,P40029,P40040,P40043,P40078,P40161,P40185,P40202,P40212,P40327,P40348,P40413,P40513,P40517,P40545,P40553,P40581,P40693,P41057,P41058,P41277,P41805,P41807,P41811,P41896,P41920,P41921,P42938,P42949,P43555,P43577,P43583,P43585,P43588,P43603,P43616,P45976,P46655,P46669,P46672,P46784,P46947,P47006,P47037,P47039,P47047,P47075,P47079,P48240,P48510,P48589,P48606,P48836,P49017,P49166,P49167,P49687,P49723,P50861,P52488,P53044,P53090,P53141,P53148,P53165,P53184,P53192,P53193,P53254,P53549,P53551,P53617,P53622,P53741,P53860,P53865,P53889,P53905,P53929,P54885,P60010,P61830,P69771,P80428,Q00055,Q00711,Q00955,Q01080,Q01217,Q01454,Q01560,Q01574,Q01852,Q01855,Q01926,Q01939,Q02046,Q02159,Q02201,Q02206,Q02326,Q02336,Q02555,Q02647,Q02724,Q02753,Q02821,Q02890,Q02892,Q03048,Q03195,Q03330,Q03629,Q03759,Q03774,Q03790,Q04067,Q04178,Q04371,Q04673,Q04773,Q04894,Q05021,Q05123,Q05506,Q05543,Q05905,Q06103,Q06205,Q06287,Q06406,Q06449,Q06505,Q06506,Q06697,Q07540,Q07794,Q07914,Q08162,Q08179,Q08649,Q08686,Q08687,Q08965,Q08971,Q12018,Q12109,Q12114,Q12118,Q12149,Q12154,Q12178,Q12186,Q12189,Q12230,Q12250,Q12287,Q12305,Q12306,Q12377,Q12449,Q12514,Q12692,Q6Q547,Q99383
Acetylation	18.1	17.3	1.05	204	1125	195	1125	0.659	1	O13297,P00330,P00331,P00498,P00549,P00560,P00958,P01123,P02293,P02309,P03872,P04147,P04802,P04911,P05374,P05453,P05744,P06169,P06634,P06843,P07149,P07170,P07253,P07259,P07262,P0C0W9,P0CX31,P0CX41,P0CX43,P0CX47,P0CX55,P10080,P10081,P10591,P10592,P10664,P11412,P11484,P12612,P12709,P12945,P13382,P14832,P15019,P15180,P15454,P15565,P15625,P15891,P15992,P16521,P16550,P17106,P17255,P17709,P19263,P19358,P19659,P20095,P20676,P21243,P21965,P22138,P22141,P22203,P22515,P23248,P23292,P23301,P23542,P25087,P25379,P25443,P26637,P26783,P26784,P26785,P27616,P28495,P28707,P28777,P29311,P29547,P29952,P30902,P31412,P31539,P32288,P32327,P32342,P32356,P32449,P32457,P32468,P32471,P32563,P32565,P32589,P32602,P32861,P32911,P33297,P33298,P33331,P33399,P33442,P34730,P36008,P36036,P36080,P36421,P36534,P37012,P38011,P38013,P38088,P38197,P38624,P38701,P38754,P38828,P38879,P38883,P38910,P38911,P38972,P39002,P39015,P39077,P39079,P39954,P39979,P40019,P40046,P40075,P40161,P40348,P40510,P40531,P40693,P41338,P41921,P42940,P43535,P43577,P43588,P45978,P46957,P47037,P47083,P47120,P48164,P48836,P49723,P52553,P53079,P53168,P53267,P53549,P53723,P53725,P53883,P54838,P54885,P60010,P61830,P89886,Q00055,Q00955,Q01662,Q01855,Q01939,Q02326,Q02455,Q02724,Q02821,Q03759,Q03761,Q03790,Q04067,Q04178,Q04409,Q04773,Q04779,Q05050,Q05506,Q05580,Q06449,Q06506,Q07458,Q08245,Q08422,Q08647,Q08649,Q12156,Q12159,Q12250,Q12306,Q12377,Q12402,Q12434,Q12515,Q12692,Q3E754
Flavoprotein	1.8	1.7	1.05	20	1125	19	1125	1	1	P09624,P28272,P29509,P32340,P32614,P38075,P38626,P39676,P39976,P40012,P41921,P42940,P46681,P48360,P53318,Q00711,Q03558,Q06053,Q08822,Q12480
Ubl conjugation	4.7	4.5	1.04	53	1125	51	1125	0.92	1	P00445,P02293,P04456,P04911,P05030,P05750,P05759,P07262,P0CX35,P10591,P10592,P15873,P19358,P21538,P25297,P25694,P28274,P31378,P31539,P32288,P32353,P32457,P32657,P33302,P35719,P35723,P36049,P37303,P38013,P38075,P38695,P38701,P38879,P39004,P39976,P40043,P40531,P41277,P47079,P52488,P52910,P53235,P53909,P54115,P89105,Q02159,Q02642,Q02908,Q05911,Q06449,Q06624,Q08245,Q12018
Mitochondrion	16.4	15.9	1.03	185	1125	179	1125	0.775	1	P00044,P00427,P00445,P00447,P00830,P00890,P00927,P00950,P04037,P04710,P04803,P04840,P05626,P06168,P06208,P07170,P07213,P07246,P07251,P07253,P07256,P07257,P07263,P07275,P07342,P07806,P08417,P09440,P09457,P09624,P09950,P0C5N3,P10507,P11914,P12687,P12695,P12887,P14832,P15108,P15424,P15565,P16387,P16451,P16547,P16622,P16861,P16862,P16965,P17106,P17505,P17558,P17695,P17898,P18239,P19262,P19414,P19882,P19955,P20967,P21269,P21560,P21954,P22217,P22354,P23180,P25039,P25372,P25374,P25379,P25719,P26793,P27692,P28239,P28241,P28817,P28834,P29509,P30902,P31378,P32340,P32445,P32454,P32463,P32473,P32787,P32898,P33416,P34227,P35191,P35691,P36010,P36013,P36112,P36141,P36147,P36534,P36775,P37292,P38071,P38077,P38087,P38088,P38264,P38300,P38345,P38523,P38626,P38705,P38793,P38884,P38891,P38910,P38988,P39522,P39533,P39726,P39925,P39952,P40012,P40047,P40053,P40185,P40202,P40491,P40495,P40513,P40581,P40825,P40961,P42940,P42949,P43594,P46367,P46655,P46681,P47039,P48015,P48360,P48525,P49017,P49095,P50861,P52893,P53075,P53163,P53193,P53219,P53297,P53312,P53318,P53598,P53875,P53889,Q00711,Q01163,Q01217,Q01574,Q01802,Q01852,Q01926,Q02486,Q02776,Q02950,Q03799,Q04013,Q04401,Q04728,Q05779,Q06089,Q06177,Q06405,Q06493,Q07540,Q07914,Q08162,Q08179,Q08686,Q08742,Q08822,Q12122,Q12166,Q12287,Q12305,Q12480,Q6Q560
Metal-binding	14.0	13.5	1.03	157	1125	152	1125	0.806	1	P00044,P00330,P00331,P00427,P00445,P00447,P00549,P00815,P00817,P00924,P00925,P03965,P04037,P05030,P05694,P05759,P06115,P06168,P06169,P06786,P06787,P07244,P07246,P07248,P07264,P07342,P08524,P08566,P09064,P09938,P0C2I9,P0CX25,P10507,P10659,P10964,P12383,P13382,P14540,P15436,P16861,P16862,P17898,P19097,P19358,P19414,P19812,P20051,P21147,P21951,P21954,P22138,P22936,P23180,P23254,P25374,P25375,P25491,P25502,P26793,P28239,P28241,P28834,P29055,P29056,P29468,P29952,P32327,P32432,P32454,P32599,P32771,P32861,P32898,P33309,P35191,P35997,P36010,P36013,P36053,P36124,P37012,P37302,P37898,P38219,P38636,P38689,P38698,P38859,P38972,P39001,P39010,P39073,P39522,P39533,P39676,P39714,P39925,P39956,P39986,P40081,P40106,P40151,P40202,P40312,P40495,P40825,P41057,P41058,P41277,P41338,P41696,P43609,P43616,P46969,P47119,P47120,P49166,P50094,P50095,P52488,P53063,P53141,P53184,P53852,P53889,P53909,P53940,P80210,Q00955,Q01662,Q01976,Q02336,Q02775,Q02890,Q02908,Q03012,Q03434,Q03833,Q04178,Q04545,Q04673,Q04779,Q04894,Q05580,Q05958,Q06053,Q06224,Q06639,Q07457,Q08422,Q08822,Q08923,Q12154,Q12178,Q12186,Q12265,Q12287
NADP	3.0	2.9	1.03	34	1125	33	1125	1	1	P06168,P07149,P07245,P07262,P08566,P09440,P11412,P12684,P13663,P19097,P21373,P21954,P29509,P29704,P31116,P32462,P36059,P38071,P38720,P38787,P39676,P40047,P41921,P48360,P54115,P54885,Q01217,Q03102,Q03558,Q04894,Q06053,Q06494,Q07551,Q12458
Ribonucleoprotein	10.7	10.6	1.01	120	1125	119	1125	1	1	P02406,P02407,P04449,P04456,P05317,P05737,P05738,P05739,P05740,P05744,P05747,P05748,P05749,P05750,P05755,P05756,P05759,P07280,P0C0T4,P0C0W9,P0C2H6,P0C2H8,P0CX23,P0CX25,P0CX29,P0CX31,P0CX33,P0CX35,P0CX37,P0CX39,P0CX41,P0CX43,P0CX45,P0CX47,P0CX49,P0CX53,P0CX55,P0CX84,P10664,P12687,P14120,P14126,P15646,P17076,P17558,P19955,P20424,P22354,P23248,P25443,P26321,P26783,P26784,P26785,P29453,P32342,P32495,P33203,P33322,P33442,P33750,P34247,P35194,P35997,P36534,P38687,P38701,P38754,P38882,P39938,P40007,P40018,P40055,P40212,P40525,P41057,P41058,P41805,P46784,P46990,P47083,P47089,P48164,P48589,P49166,P49167,P53075,P53163,P53221,P53254,P53276,P53875,P53905,P53927,P53941,Q00916,Q01163,Q01560,Q01855,Q02326,Q02753,Q02950,Q03799,Q04217,Q04500,Q05022,Q05942,Q06106,Q06287,Q06406,Q06506,Q06679,Q12136,Q12220,Q12460,Q12499,Q12672,Q3E754,Q6Q547,Q99207
Periplasm	0.1	0.1	1.00	1	1125	1	1125	1	1	P32454
Serine biosynthesis	0.2	0.2	1.00	2	1125	2	1125	1	1	P33330,P40510
Cysteine biosynthesis	0.4	0.4	1.00	4	1125	4	1125	1	1	P06106,P31373,P32582,Q02196
Hydrolase	10.7	10.7	1.00	120	1125	120	1125	1	1	O13297,P00815,P00817,P00830,P05030,P06634,P07149,P07245,P09440,P0C2I9,P10081,P10507,P11914,P12887,P13587,P15424,P15436,P16140,P16550,P17255,P19881,P20051,P20095,P20447,P20448,P20449,P21243,P22082,P22134,P22141,P22147,P24384,P24783,P25037,P25375,P25451,P26793,P28239,P28273,P28817,P31378,P31688,P32356,P32379,P32454,P32561,P32571,P32597,P32639,P32657,P32892,P32898,P33309,P35187,P36009,P36136,P36775,P37302,P37898,P38009,P38086,P38112,P38139,P38144,P38158,P38219,P38624,P38698,P38777,P38858,P38859,P39517,P39925,P39954,P39986,P40081,P40106,P40562,P41277,P41812,P41896,P43588,P43616,P47047,P47119,P49687,P53063,P53184,P53219,P53889,P53909,P53973,P53981,P54113,Q00416,Q01476,Q01662,Q01976,Q02555,Q02724,Q02792,Q02890,Q03434,Q03532,Q03792,Q03940,Q04217,Q04223,Q04344,Q06218,Q06224,Q06350,Q07478,Q08162,Q08237,Q12149,Q12154,Q12178,Q12389,Q99287
