# min_ratio=None pval=None
id	enrichment	description	ratio_in_study	ratio_in_pop	p_uncorrected	p_bonferroni	p_holm	p_sidak	p_fdr
GO:0006260	e	DNA replication	20/1159	15/1159	0.496	2.45e+03	1.99e+03	2.39e+03	1
GO:0006261	e	DNA-dependent DNA replication	9/1159	5/1159	0.423	2.09e+03	1.74e+03	2.04e+03	1
GO:0006264	p	mitochondrial DNA replication	1/1159	1/1159	1	4.94e+03	1.77e+03	4.82e+03	1
GO:0006265	p	DNA topological change	2/1159	2/1159	1	4.94e+03	3.09e+03	4.82e+03	1
GO:0006267	e	pre-replicative complex assembly involved in nuclear cell cycle DNA replication	4/1159	3/1159	1	4.94e+03	1.77e+03	4.82e+03	1
GO:0006268	e	DNA unwinding involved in DNA replication	3/1159	2/1159	1	4.94e+03	2.72e+03	4.82e+03	1
GO:0006270	e	DNA replication initiation	8/1159	6/1159	0.79	3.9e+03	2.58e+03	3.81e+03	1
GO:0006271	e	DNA strand elongation involved in DNA replication	10/1159	5/1159	0.3	1.48e+03	1.29e+03	1.45e+03	1
GO:0006272	e	leading strand elongation	6/1159	2/1159	0.288	1.42e+03	1.25e+03	1.39e+03	1
GO:0006273	e	lagging strand elongation	6/1159	2/1159	0.288	1.42e+03	1.25e+03	1.39e+03	1
GO:0006275	e	regulation of DNA replication	21/1159	9/1159	0.0415	205	195	200	1
GO:0006276	e	plasmid maintenance	3/1159	1/1159	0.625	3.09e+03	2.34e+03	3.01e+03	1
GO:0006277	e	DNA amplification	2/1159	0/1159	0.5	2.47e+03	2e+03	2.41e+03	1
GO:0006278	e	RNA-dependent DNA replication	8/1159	5/1159	0.58	2.87e+03	2.21e+03	2.79e+03	1
GO:0006279	p	premeiotic DNA replication	1/1159	1/1159	1	4.94e+03	1.77e+03	4.82e+03	1
GO:0006281	e	DNA repair	70/1159	38/1159	0.00212	10.5	10.2	10.2	1
GO:0006282	e	regulation of DNA repair	6/1159	3/1159	0.507	2.51e+03	1.98e+03	2.44e+03	1
GO:0006283	e	transcription-coupled nucleotide-excision repair	4/1159	3/1159	1	4.94e+03	1.77e+03	4.82e+03	1
GO:0006284	e	base-excision repair	7/1159	1/1159	0.0698	345	325	336	1
GO:0006285	e	base-excision repair, AP site formation	2/1159	0/1159	0.5	2.47e+03	2e+03	2.41e+03	1
GO:0006286	e	base-excision repair, base-free sugar-phosphate removal	1/1159	0/1159	1	4.94e+03	2.51e+03	4.82e+03	1
GO:0006289	e	nucleotide-excision repair	17/1159	9/1159	0.166	822	748	801	1
GO:0006297	e	nucleotide-excision repair, DNA gap filling	1/1159	0/1159	1	4.94e+03	2.51e+03	4.82e+03	1
GO:0006298	e	mismatch repair	7/1159	4/1159	0.548	2.71e+03	2.11e+03	2.64e+03	1
GO:0006301	e	postreplication repair	6/1159	4/1159	0.753	3.72e+03	2.53e+03	3.63e+03	1
GO:0006302	e	double-strand break repair	20/1159	10/1159	0.0966	477	445	465	1
GO:0006303	e	double-strand break repair via nonhomologous end joining	6/1159	3/1159	0.507	2.51e+03	1.98e+03	2.44e+03	1
GO:0006304	p	DNA modification	1/1159	1/1159	1	4.94e+03	1.77e+03	4.82e+03	1
GO:0006307	p	DNA dealkylation involved in DNA repair	1/1159	1/1159	1	4.94e+03	1.77e+03	4.82e+03	1
GO:0006310	e	DNA recombination	25/1159	17/1159	0.276	1.36e+03	1.2e+03	1.33e+03	1
GO:0006312	p	mitotic recombination	4/1159	5/1159	1	4.94e+03	1.77e+03	4.82e+03	1
GO:0006314	p	intron homing	1/1159	1/1159	1	4.94e+03	1.77e+03	4.82e+03	1
GO:0006323	e	DNA packaging	4/1159	3/1159	1	4.94e+03	1.77e+03	4.82e+03	1
GO:0006325	e	chromatin organization	110/1159	46/1159	1.22e-07	0.000602	0.000598	0.000587	0.944
GO:0006333	e	chromatin assembly or disassembly	20/1159	10/1159	0.0966	477	445	465	1
GO:0006334	e	nucleosome assembly	11/1159	6/1159	0.331	1.63e+03	1.41e+03	1.59e+03	1
GO:0006335	e	DNA replication-dependent nucleosome assembly	4/1159	1/1159	0.374	1.85e+03	1.58e+03	1.8e+03	1
GO:0006336	e	DNA replication-independent nucleosome assembly	3/1159	1/1159	0.625	3.09e+03	2.34e+03	3.01e+03	1
GO:0006337	e	nucleosome disassembly	7/1159	3/1159	0.343	1.69e+03	1.46e+03	1.65e+03	1
GO:0006338	e	chromatin remodeling	43/1159	14/1159	0.000128	0.632	0.625	0.616	1
GO:0006342	e	chromatin silencing	33/1159	20/1159	0.0945	467	437	455	1
GO:0006344	e	maintenance of chromatin silencing	2/1159	1/1159	1	4.94e+03	1.77e+03	4.82e+03	1
GO:0006348	e	chromatin silencing at telomere	18/1159	10/1159	0.182	901	817	878	1
GO:0006351	e	transcription, DNA-templated	128/1159	61/1159	4.27e-07	0.00211	0.0021	0.00206	0.99
GO:0006352	e	DNA-templated transcription, initiation	5/1159	4/1159	1	4.94e+03	1.77e+03	4.82e+03	1
GO:0006353	e	DNA-templated transcription, termination	19/1159	9/1159	0.0853	421	395	411	1
GO:0006354	e	DNA-templated transcription, elongation	30/1159	11/1159	0.004	19.8	19.2	19.3	1
GO:0006355	e	regulation of transcription, DNA-templated	205/1159	102/1159	6.61e-10	3.26e-06	3.26e-06	3.18e-06	0.344
GO:0006356	e	regulation of transcription from RNA polymerase I promoter	16/1159	9/1159	0.227	1.12e+03	1e+03	1.09e+03	1
GO:0006357	e	regulation of transcription from RNA polymerase II promoter	122/1159	60/1159	2.03e-06	0.01	0.00993	0.00976	0.998
GO:0006359	e	regulation of transcription from RNA polymerase III promoter	6/1159	3/1159	0.507	2.51e+03	1.98e+03	2.44e+03	1
GO:0006360	e	transcription from RNA polymerase I promoter	11/1159	9/1159	0.823	4.07e+03	2.64e+03	3.96e+03	1
GO:0006362	e	transcription elongation from RNA polymerase I promoter	5/1159	2/1159	0.452	2.24e+03	1.85e+03	2.18e+03	1
GO:0006363	e	termination of RNA polymerase I transcription	3/1159	1/1159	0.625	3.09e+03	2.34e+03	3.01e+03	1
GO:0006364	e	rRNA processing	127/1159	79/1159	0.000575	2.84	2.78	2.77	1
GO:0006366	e	transcription from RNA polymerase II promoter	38/1159	18/1159	0.00956	47.2	45.7	46	1
GO:0006367	p	transcription initiation from RNA polymerase II promoter	3/1159	3/1159	1	4.94e+03	1.91e+03	4.82e+03	1
GO:0006368	e	transcription elongation from RNA polymerase II promoter	25/1159	10/1159	0.0159	78.5	75.5	76.5	1
GO:0006369	e	termination of RNA polymerase II transcription	14/1159	5/1159	0.0625	309	292	301	1
GO:0006370	p	7-methylguanosine mRNA capping	2/1159	2/1159	1	4.94e+03	3.09e+03	4.82e+03	1
GO:0006378	e	mRNA polyadenylation	8/1159	3/1159	0.225	1.11e+03	1e+03	1.09e+03	1
GO:0006379	e	mRNA cleavage	9/1159	4/1159	0.265	1.31e+03	1.16e+03	1.28e+03	1
GO:0006383	p	transcription from RNA polymerase III promoter	2/1159	7/1159	0.179	884	803	862	1
GO:0006384	p	transcription initiation from RNA polymerase III promoter	1/1159	1/1159	1	4.94e+03	1.77e+03	4.82e+03	1
GO:0006392	e	transcription elongation from mitochondrial promoter	1/1159	0/1159	1	4.94e+03	2.51e+03	4.82e+03	1
GO:0006396	e	RNA processing	179/1159	120/1159	0.000314	1.55	1.53	1.51	1
GO:0006397	e	mRNA processing	45/1159	30/1159	0.0997	493	459	480	1
GO:0006399	e	tRNA metabolic process	55/1159	45/1159	0.358	1.77e+03	1.51e+03	1.72e+03	1
GO:0006400	p	tRNA modification	14/1159	14/1159	1	4.94e+03	1.77e+03	4.82e+03	1
GO:0006401	e	RNA catabolic process	35/1159	27/1159	0.368	1.82e+03	1.55e+03	1.77e+03	1
GO:0006402	e	mRNA catabolic process	24/1159	22/1159	0.882	4.36e+03	2.76e+03	4.25e+03	1
GO:0006403	e	RNA localization	12/1159	8/1159	0.502	2.48e+03	1.97e+03	2.42e+03	1
GO:0006405	e	RNA export from nucleus	38/1159	27/1159	0.208	1.03e+03	930	1e+03	1
GO:0006406	e	mRNA export from nucleus	24/1159	14/1159	0.14	692	636	675	1
GO:0006407	p	rRNA export from nucleus	9/1159	10/1159	1	4.94e+03	2.73e+03	4.82e+03	1
GO:0006409	e	tRNA export from nucleus	6/1159	4/1159	0.753	3.72e+03	2.53e+03	3.63e+03	1
GO:0006412	p	translation	100/1159	112/1159	0.428	2.12e+03	1.76e+03	2.06e+03	1
GO:0006413	p	translational initiation	16/1159	17/1159	1	4.94e+03	1.77e+03	4.82e+03	1
GO:0006414	p	translational elongation	12/1159	15/1159	0.699	3.46e+03	2.42e+03	3.37e+03	1
GO:0006415	e	translational termination	9/1159	7/1159	0.803	3.97e+03	2.6e+03	3.87e+03	1
GO:0006417	e	regulation of translation	49/1159	47/1159	0.917	4.53e+03	2.85e+03	4.42e+03	1
GO:0006418	e	tRNA aminoacylation for protein translation	25/1159	18/1159	0.356	1.76e+03	1.51e+03	1.71e+03	1
GO:0006419	p	alanyl-tRNA aminoacylation	1/1159	1/1159	1	4.94e+03	1.77e+03	4.82e+03	1
GO:0006420	p	arginyl-tRNA aminoacylation	1/1159	1/1159	1	4.94e+03	1.77e+03	4.82e+03	1
GO:0006421	p	asparaginyl-tRNA aminoacylation	1/1159	1/1159	1	4.94e+03	1.77e+03	4.82e+03	1
GO:0006422	p	aspartyl-tRNA aminoacylation	1/1159	1/1159	1	4.94e+03	1.77e+03	4.82e+03	1
GO:0006423	p	cysteinyl-tRNA aminoacylation	1/1159	1/1159	1	4.94e+03	1.77e+03	4.82e+03	1
GO:0006424	e	glutamyl-tRNA aminoacylation	2/1159	1/1159	1	4.94e+03	1.77e+03	4.82e+03	1
GO:0006425	p	glutaminyl-tRNA aminoacylation	1/1159	1/1159	1	4.94e+03	1.77e+03	4.82e+03	1
GO:0006426	p	glycyl-tRNA aminoacylation	1/1159	1/1159	1	4.94e+03	1.77e+03	4.82e+03	1
GO:0006427	p	histidyl-tRNA aminoacylation	1/1159	1/1159	1	4.94e+03	1.77e+03	4.82e+03	1
GO:0006428	p	isoleucyl-tRNA aminoacylation	1/1159	1/1159	1	4.94e+03	1.77e+03	4.82e+03	1
GO:0006429	p	leucyl-tRNA aminoacylation	1/1159	1/1159	1	4.94e+03	1.77e+03	4.82e+03	1
GO:0006430	p	lysyl-tRNA aminoacylation	1/1159	1/1159	1	4.94e+03	1.77e+03	4.82e+03	1
GO:0006431	p	methionyl-tRNA aminoacylation	1/1159	1/1159	1	4.94e+03	1.77e+03	4.82e+03	1
GO:0006432	p	phenylalanyl-tRNA aminoacylation	2/1159	2/1159	1	4.94e+03	3.09e+03	4.82e+03	1
GO:0006433	p	prolyl-tRNA aminoacylation	1/1159	1/1159	1	4.94e+03	1.77e+03	4.82e+03	1
GO:0006434	e	seryl-tRNA aminoacylation	2/1159	1/1159	1	4.94e+03	1.77e+03	4.82e+03	1
GO:0006435	p	threonyl-tRNA aminoacylation	1/1159	1/1159	1	4.94e+03	1.77e+03	4.82e+03	1
GO:0006436	e	tryptophanyl-tRNA aminoacylation	2/1159	1/1159	1	4.94e+03	1.77e+03	4.82e+03	1
GO:0006437	p	tyrosyl-tRNA aminoacylation	1/1159	1/1159	1	4.94e+03	1.77e+03	4.82e+03	1
GO:0006438	p	valyl-tRNA aminoacylation	1/1159	1/1159	1	4.94e+03	1.77e+03	4.82e+03	1
GO:0006446	p	regulation of translational initiation	11/1159	12/1159	1	4.94e+03	1.77e+03	4.82e+03	1
GO:0006448	e	regulation of translational elongation	18/1159	17/1159	1	4.94e+03	1.77e+03	4.82e+03	1
GO:0006449	p	regulation of translational termination	3/1159	4/1159	1	4.94e+03	1.77e+03	4.82e+03	1
GO:0006450	p	regulation of translational fidelity	12/1159	13/1159	1	4.94e+03	1.77e+03	4.82e+03	1
GO:0006452	p	translational frameshifting	4/1159	4/1159	1	4.94e+03	2.79e+03	4.82e+03	1
GO:0006457	e	protein folding	47/1159	45/1159	0.915	4.52e+03	2.84e+03	4.41e+03	1
GO:0006458	e	'de novo' protein folding	8/1159	7/1159	1	4.94e+03	1.77e+03	4.82e+03	1
GO:0006461	p	protein complex assembly	64/1159	64/1159	1	4.94e+03	1.77e+03	4.82e+03	1
GO:0006464	p	cellular protein modification process	111/1159	113/1159	0.944	4.67e+03	2.93e+03	4.55e+03	1
GO:0006465	p	signal peptide processing	1/1159	1/1159	1	4.94e+03	1.77e+03	4.82e+03	1
GO:0006468	p	protein phosphorylation	14/1159	21/1159	0.307	1.52e+03	1.32e+03	1.48e+03	1
GO:0006469	p	negative regulation of protein kinase activity	4/1159	5/1159	1	4.94e+03	1.77e+03	4.82e+03	1
GO:0006470	p	protein dephosphorylation	3/1159	8/1159	0.225	1.11e+03	1e+03	1.09e+03	1
GO:0006473	e	protein acetylation	28/1159	9/1159	0.00237	11.7	11.4	11.4	1
GO:0006474	p	N-terminal protein amino acid acetylation	2/1159	2/1159	1	4.94e+03	3.09e+03	4.82e+03	1
GO:0006475	e	internal protein amino acid acetylation	26/1159	7/1159	0.00122	6.03	5.9	5.88	1
GO:0006476	e	protein deacetylation	11/1159	4/1159	0.117	580	538	565	1
GO:0006479	p	protein methylation	8/1159	8/1159	1	4.94e+03	1.77e+03	4.82e+03	1
GO:0006482	e	protein demethylation	2/1159	0/1159	0.5	2.47e+03	2e+03	2.41e+03	1
GO:0006486	p	protein glycosylation	3/1159	15/1159	0.00732	36.2	35	35.3	1
GO:0006487	p	protein N-linked glycosylation	1/1159	7/1159	0.0698	345	325	336	1
GO:0006497	p	protein lipidation	1/1159	5/1159	0.218	1.08e+03	972	1.05e+03	1
GO:0006508	p	proteolysis	59/1159	71/1159	0.321	1.58e+03	1.37e+03	1.55e+03	1
GO:0006511	p	ubiquitin-dependent protein catabolic process	34/1159	44/1159	0.3	1.48e+03	1.29e+03	1.44e+03	1
GO:0006513	p	protein monoubiquitination	3/1159	3/1159	1	4.94e+03	1.91e+03	4.82e+03	1
GO:0006515	e	misfolded or incompletely synthesized protein catabolic process	8/1159	7/1159	1	4.94e+03	1.77e+03	4.82e+03	1
GO:0006517	p	protein deglycosylation	1/1159	1/1159	1	4.94e+03	1.77e+03	4.82e+03	1
GO:0006518	p	peptide metabolic process	9/1159	10/1159	1	4.94e+03	2.73e+03	4.82e+03	1
GO:0006520	e	cellular amino acid metabolic process	114/1159	96/1159	0.219	1.08e+03	970	1.05e+03	1
GO:0006521	e	regulation of cellular amino acid metabolic process	3/1159	2/1159	1	4.94e+03	2.72e+03	4.82e+03	1
GO:0006522	e	alanine metabolic process	1/1159	0/1159	1	4.94e+03	2.51e+03	4.82e+03	1
GO:0006523	e	alanine biosynthetic process	1/1159	0/1159	1	4.94e+03	2.51e+03	4.82e+03	1
GO:0006524	e	alanine catabolic process	1/1159	0/1159	1	4.94e+03	2.51e+03	4.82e+03	1
GO:0006525	p	arginine metabolic process	4/1159	4/1159	1	4.94e+03	2.79e+03	4.82e+03	1
GO:0006526	e	arginine biosynthetic process	3/1159	2/1159	1	4.94e+03	2.72e+03	4.82e+03	1
GO:0006527	p	arginine catabolic process	1/1159	1/1159	1	4.94e+03	1.77e+03	4.82e+03	1
GO:0006528	p	asparagine metabolic process	2/1159	2/1159	1	4.94e+03	3.09e+03	4.82e+03	1
GO:0006529	p	asparagine biosynthetic process	2/1159	2/1159	1	4.94e+03	3.09e+03	4.82e+03	1
GO:0006531	e	aspartate metabolic process	3/1159	2/1159	1	4.94e+03	2.72e+03	4.82e+03	1
GO:0006532	e	aspartate biosynthetic process	2/1159	1/1159	1	4.94e+03	1.77e+03	4.82e+03	1
GO:0006534	e	cysteine metabolic process	6/1159	5/1159	1	4.94e+03	1.82e+03	4.82e+03	1
GO:0006535	p	cysteine biosynthetic process from serine	1/1159	1/1159	1	4.94e+03	1.77e+03	4.82e+03	1
GO:0006536	e	glutamate metabolic process	10/1159	7/1159	0.628	3.1e+03	2.27e+03	3.02e+03	1
GO:0006537	e	glutamate biosynthetic process	6/1159	5/1159	1	4.94e+03	1.82e+03	4.82e+03	1
GO:0006538	e	glutamate catabolic process	2/1159	1/1159	1	4.94e+03	1.77e+03	4.82e+03	1
GO:0006541	p	glutamine metabolic process	9/1159	10/1159	1	4.94e+03	2.73e+03	4.82e+03	1
GO:0006542	p	glutamine biosynthetic process	1/1159	1/1159	1	4.94e+03	1.77e+03	4.82e+03	1
GO:0006544	e	glycine metabolic process	7/1159	6/1159	1	4.94e+03	1.77e+03	4.82e+03	1
GO:0006545	p	glycine biosynthetic process	1/1159	1/1159	1	4.94e+03	1.77e+03	4.82e+03	1
GO:0006546	e	glycine catabolic process	4/1159	3/1159	1	4.94e+03	1.77e+03	4.82e+03	1
GO:0006547	e	histidine metabolic process	5/1159	4/1159	1	4.94e+03	1.77e+03	4.82e+03	1
GO:0006549	e	isoleucine metabolic process	11/1159	9/1159	0.823	4.07e+03	2.64e+03	3.96e+03	1
GO:0006550	p	isoleucine catabolic process	1/1159	1/1159	1	4.94e+03	1.77e+03	4.82e+03	1
GO:0006551	e	leucine metabolic process	6/1159	5/1159	1	4.94e+03	1.82e+03	4.82e+03	1
GO:0006552	p	leucine catabolic process	1/1159	1/1159	1	4.94e+03	1.77e+03	4.82e+03	1
GO:0006553	e	lysine metabolic process	8/1159	5/1159	0.58	2.87e+03	2.21e+03	2.79e+03	1
GO:0006554	e	lysine catabolic process	1/1159	0/1159	1	4.94e+03	2.51e+03	4.82e+03	1
GO:0006555	e	methionine metabolic process	17/1159	15/1159	0.859	4.25e+03	2.71e+03	4.14e+03	1
GO:0006556	e	S-adenosylmethionine biosynthetic process	2/1159	1/1159	1	4.94e+03	1.77e+03	4.82e+03	1
GO:0006558	p	L-phenylalanine metabolic process	2/1159	3/1159	1	4.94e+03	2.72e+03	4.82e+03	1
GO:0006559	p	L-phenylalanine catabolic process	1/1159	1/1159	1	4.94e+03	1.77e+03	4.82e+03	1
GO:0006560	e	proline metabolic process	5/1159	3/1159	0.726	3.59e+03	2.5e+03	3.5e+03	1
GO:0006561	e	proline biosynthetic process	4/1159	3/1159	1	4.94e+03	1.77e+03	4.82e+03	1
GO:0006562	e	proline catabolic process	1/1159	0/1159	1	4.94e+03	2.51e+03	4.82e+03	1
GO:0006563	e	L-serine metabolic process	7/1159	5/1159	0.774	3.82e+03	2.56e+03	3.73e+03	1
GO:0006564	e	L-serine biosynthetic process	3/1159	2/1159	1	4.94e+03	2.72e+03	4.82e+03	1
GO:0006565	e	L-serine catabolic process	1/1159	0/1159	1	4.94e+03	2.51e+03	4.82e+03	1
GO:0006566	e	threonine metabolic process	8/1159	5/1159	0.58	2.87e+03	2.21e+03	2.79e+03	1
GO:0006567	e	threonine catabolic process	3/1159	2/1159	1	4.94e+03	2.72e+03	4.82e+03	1
GO:0006568	p	tryptophan metabolic process	4/1159	4/1159	1	4.94e+03	2.79e+03	4.82e+03	1
GO:0006569	p	tryptophan catabolic process	1/1159	2/1159	1	4.94e+03	1.77e+03	4.82e+03	1
GO:0006570	p	tyrosine metabolic process	1/1159	2/1159	1	4.94e+03	1.77e+03	4.82e+03	1
GO:0006571	p	tyrosine biosynthetic process	1/1159	1/1159	1	4.94e+03	1.77e+03	4.82e+03	1
GO:0006573	e	valine metabolic process	7/1159	6/1159	1	4.94e+03	1.77e+03	4.82e+03	1
GO:0006574	e	valine catabolic process	2/1159	1/1159	1	4.94e+03	1.77e+03	4.82e+03	1
GO:0006575	p	cellular modified amino acid metabolic process	21/1159	23/1159	0.879	4.35e+03	2.75e+03	4.24e+03	1
GO:0006576	p	cellular biogenic amine metabolic process	9/1159	11/1159	0.823	4.07e+03	2.64e+03	3.96e+03	1
GO:0006586	p	indolalkylamine metabolic process	4/1159	4/1159	1	4.94e+03	2.79e+03	4.82e+03	1
GO:0006591	e	ornithine metabolic process	3/1159	2/1159	1	4.94e+03	2.72e+03	4.82e+03	1
GO:0006592	e	ornithine biosynthetic process	2/1159	1/1159	1	4.94e+03	1.77e+03	4.82e+03	1
GO:0006595	p	polyamine metabolic process	2/1159	2/1159	1	4.94e+03	3.09e+03	4.82e+03	1
GO:0006596	p	polyamine biosynthetic process	1/1159	1/1159	1	4.94e+03	1.77e+03	4.82e+03	1
GO:0006598	p	polyamine catabolic process	1/1159	1/1159	1	4.94e+03	1.77e+03	4.82e+03	1
GO:0006605	p	protein targeting	29/1159	33/1159	0.7	3.46e+03	2.41e+03	3.37e+03	1
GO:0006606	e	protein import into nucleus	18/1159	15/1159	0.726	3.59e+03	2.45e+03	3.5e+03	1
GO:0006607	e	NLS-bearing protein import into nucleus	8/1159	5/1159	0.58	2.87e+03	2.21e+03	2.79e+03	1
GO:0006608	p	snRNP protein import into nucleus	1/1159	1/1159	1	4.94e+03	1.77e+03	4.82e+03	1
GO:0006610	p	ribosomal protein import into nucleus	1/1159	1/1159	1	4.94e+03	1.77e+03	4.82e+03	1
GO:0006611	e	protein export from nucleus	6/1159	3/1159	0.507	2.51e+03	1.98e+03	2.44e+03	1
GO:0006612	p	protein targeting to membrane	12/1159	12/1159	1	4.94e+03	1.77e+03	4.82e+03	1
GO:0006613	e	cotranslational protein targeting to membrane	3/1159	2/1159	1	4.94e+03	2.72e+03	4.82e+03	1
GO:0006614	p	SRP-dependent cotranslational protein targeting to membrane	2/1159	2/1159	1	4.94e+03	3.09e+03	4.82e+03	1
GO:0006616	p	SRP-dependent cotranslational protein targeting to membrane, translocation	4/1159	5/1159	1	4.94e+03	1.77e+03	4.82e+03	1
GO:0006617	e	SRP-dependent cotranslational protein targeting to membrane, signal sequence recognition	3/1159	2/1159	1	4.94e+03	2.72e+03	4.82e+03	1
GO:0006620	e	posttranslational protein targeting to membrane	6/1159	5/1159	1	4.94e+03	1.82e+03	4.82e+03	1
GO:0006623	p	protein targeting to vacuole	9/1159	13/1159	0.521	2.58e+03	2.02e+03	2.51e+03	1
GO:0006626	p	protein targeting to mitochondrion	4/1159	4/1159	1	4.94e+03	2.79e+03	4.82e+03	1
GO:0006627	e	protein processing involved in protein targeting to mitochondrion	2/1159	1/1159	1	4.94e+03	1.77e+03	4.82e+03	1
GO:0006629	p	lipid metabolic process	38/1159	56/1159	0.0729	360	339	351	1
GO:0006631	p	fatty acid metabolic process	12/1159	13/1159	1	4.94e+03	1.77e+03	4.82e+03	1
GO:0006633	p	fatty acid biosynthetic process	7/1159	8/1159	1	4.94e+03	1.77e+03	4.82e+03	1
GO:0006635	p	fatty acid beta-oxidation	2/1159	2/1159	1	4.94e+03	3.09e+03	4.82e+03	1
GO:0006636	p	unsaturated fatty acid biosynthetic process	1/1159	1/1159	1	4.94e+03	1.77e+03	4.82e+03	1
GO:0006637	e	acyl-CoA metabolic process	13/1159	10/1159	0.676	3.34e+03	2.4e+03	3.26e+03	1
GO:0006638	p	neutral lipid metabolic process	1/1159	2/1159	1	4.94e+03	1.77e+03	4.82e+03	1
GO:0006639	p	acylglycerol metabolic process	1/1159	2/1159	1	4.94e+03	1.77e+03	4.82e+03	1
GO:0006641	p	triglyceride metabolic process	1/1159	2/1159	1	4.94e+03	1.77e+03	4.82e+03	1
GO:0006643	p	membrane lipid metabolic process	1/1159	10/1159	0.0115	57	55.1	55.6	1
GO:0006644	p	phospholipid metabolic process	13/1159	24/1159	0.0962	475	444	463	1
GO:0006650	p	glycerophospholipid metabolic process	7/1159	17/1159	0.0626	309	292	301	1
GO:0006656	p	phosphatidylcholine biosynthetic process	3/1159	3/1159	1	4.94e+03	1.91e+03	4.82e+03	1
GO:0006657	p	CDP-choline pathway	1/1159	1/1159	1	4.94e+03	1.77e+03	4.82e+03	1
GO:0006661	p	phosphatidylinositol biosynthetic process	1/1159	6/1159	0.124	615	569	599	1
GO:0006662	p	glycerol ether metabolic process	2/1159	2/1159	1	4.94e+03	3.09e+03	4.82e+03	1
GO:0006665	p	sphingolipid metabolic process	1/1159	7/1159	0.0698	345	325	336	1
GO:0006694	p	steroid biosynthetic process	12/1159	13/1159	1	4.94e+03	1.77e+03	4.82e+03	1
GO:0006696	p	ergosterol biosynthetic process	9/1159	10/1159	1	4.94e+03	2.73e+03	4.82e+03	1
GO:0006720	p	isoprenoid metabolic process	4/1159	4/1159	1	4.94e+03	2.79e+03	4.82e+03	1
GO:0006721	p	terpenoid metabolic process	1/1159	2/1159	1	4.94e+03	1.77e+03	4.82e+03	1
GO:0006725	e	cellular aromatic compound metabolic process	545/1159	376/1159	3.13e-10	1.55e-06	1.55e-06	1.51e-06	0.182
GO:0006730	e	one-carbon metabolic process	11/1159	8/1159	0.646	3.19e+03	2.32e+03	3.11e+03	1
GO:0006732	e	coenzyme metabolic process	69/1159	66/1159	0.859	4.25e+03	2.7e+03	4.14e+03	1
GO:0006733	e	oxidoreduction coenzyme metabolic process	44/1159	43/1159	1	4.94e+03	3.09e+03	4.82e+03	1
GO:0006734	p	NADH metabolic process	7/1159	7/1159	1	4.94e+03	1.77e+03	4.82e+03	1
GO:0006735	p	NADH regeneration	1/1159	1/1159	1	4.94e+03	1.77e+03	4.82e+03	1
GO:0006739	e	NADP metabolic process	13/1159	11/1159	0.838	4.14e+03	2.66e+03	4.04e+03	1
GO:0006740	p	NADPH regeneration	4/1159	4/1159	1	4.94e+03	2.79e+03	4.82e+03	1
GO:0006741	e	NADP biosynthetic process	1/1159	0/1159	1	4.94e+03	2.51e+03	4.82e+03	1
GO:0006743	e	ubiquinone metabolic process	4/1159	3/1159	1	4.94e+03	1.77e+03	4.82e+03	1
GO:0006744	e	ubiquinone biosynthetic process	4/1159	3/1159	1	4.94e+03	1.77e+03	4.82e+03	1
GO:0006749	p	glutathione metabolic process	6/1159	6/1159	1	4.94e+03	1.77e+03	4.82e+03	1
GO:0006751	p	glutathione catabolic process	1/1159	1/1159	1	4.94e+03	1.77e+03	4.82e+03	1
GO:0006753	e	nucleoside phosphate metabolic process	98/1159	97/1159	1	4.94e+03	2.8e+03	4.82e+03	1
GO:0006754	p	ATP biosynthetic process	8/1159	9/1159	1	4.94e+03	1.77e+03	4.82e+03	1
GO:0006760	p	folic acid-containing compound metabolic process	5/1159	5/1159	1	4.94e+03	2.84e+03	4.82e+03	1
GO:0006766	p	vitamin metabolic process	8/1159	9/1159	1	4.94e+03	1.77e+03	4.82e+03	1
GO:0006767	p	water-soluble vitamin metabolic process	8/1159	9/1159	1	4.94e+03	1.77e+03	4.82e+03	1
GO:0006771	p	riboflavin metabolic process	1/1159	2/1159	1	4.94e+03	1.77e+03	4.82e+03	1
GO:0006778	e	porphyrin-containing compound metabolic process	5/1159	4/1159	1	4.94e+03	1.77e+03	4.82e+03	1
GO:0006779	e	porphyrin-containing compound biosynthetic process	5/1159	4/1159	1	4.94e+03	1.77e+03	4.82e+03	1
GO:0006782	p	protoporphyrinogen IX biosynthetic process	2/1159	2/1159	1	4.94e+03	3.09e+03	4.82e+03	1
GO:0006783	e	heme biosynthetic process	5/1159	4/1159	1	4.94e+03	1.77e+03	4.82e+03	1
GO:0006790	e	sulfur compound metabolic process	40/1159	36/1159	0.727	3.59e+03	2.45e+03	3.5e+03	1
GO:0006793	p	phosphorus metabolic process	168/1159	178/1159	0.6	2.96e+03	2.26e+03	2.89e+03	1
GO:0006796	p	phosphate-containing compound metabolic process	153/1159	169/1159	0.368	1.82e+03	1.55e+03	1.77e+03	1
GO:0006797	e	polyphosphate metabolic process	7/1159	5/1159	0.774	3.82e+03	2.56e+03	3.73e+03	1
GO:0006798	p	polyphosphate catabolic process	1/1159	1/1159	1	4.94e+03	1.77e+03	4.82e+03	1
GO:0006801	p	superoxide metabolic process	4/1159	4/1159	1	4.94e+03	2.79e+03	4.82e+03	1
GO:0006807	e	nitrogen compound metabolic process	619/1159	450/1159	3.88e-10	1.92e-06	1.92e-06	1.87e-06	0.216
