# min_ratio=None pval=None
id	enrichment	description	ratio_in_study	ratio_in_pop	p_uncorrected	p_bonferroni	p_holm	p_sidak	p_fdr
GO:0003938	e	IMP dehydrogenase activity	2/1159	3/4258	0.182	899	607	876	n.a.
GO:0003941	e	L-serine ammonia-lyase activity	1/1159	1/4258	0.272	1.35e+03	824	1.31e+03	n.a.
GO:0003942	e	N-acetyl-gamma-glutamyl-phosphate reductase activity	2/1159	2/4258	0.074	366	281	357	n.a.
GO:0003949	e	1-(5-phosphoribosyl)-5-[(5-phosphoribosylamino)methylideneamino]imidazole-4-carboxamide isomerase activity	1/1159	1/4258	0.272	1.35e+03	824	1.31e+03	n.a.
GO:0003951	e	NAD+ kinase activity	1/1159	3/4258	1	4.94e+03	278	4.82e+03	n.a.
GO:0003954	e	NADH dehydrogenase activity	1/1159	3/4258	1	4.94e+03	278	4.82e+03	n.a.
GO:0003959	e	NADPH dehydrogenase activity	1/1159	1/4258	0.272	1.35e+03	824	1.31e+03	n.a.
GO:0003961	e	O-acetylhomoserine aminocarboxypropyltransferase activity	1/1159	1/4258	0.272	1.35e+03	824	1.31e+03	n.a.
GO:0003964	p	RNA-directed DNA polymerase activity	3/1159	18/4258	0.43	2.12e+03	882	2.07e+03	n.a.
GO:0003983	e	UTP:glucose-1-phosphate uridylyltransferase activity	1/1159	1/4258	0.272	1.35e+03	824	1.31e+03	n.a.
GO:0003984	e	acetolactate synthase activity	1/1159	2/4258	0.47	2.32e+03	913	2.27e+03	n.a.
GO:0003985	e	acetyl-CoA C-acetyltransferase activity	1/1159	1/4258	0.272	1.35e+03	824	1.31e+03	n.a.
GO:0003987	e	acetate-CoA ligase activity	2/1159	2/4258	0.074	366	281	357	n.a.
GO:0003988	e	acetyl-CoA C-acyltransferase activity	1/1159	2/4258	0.47	2.32e+03	913	2.27e+03	n.a.
GO:0003989	e	acetyl-CoA carboxylase activity	1/1159	2/4258	0.47	2.32e+03	913	2.27e+03	n.a.
GO:0003991	e	acetylglutamate kinase activity	1/1159	1/4258	0.272	1.35e+03	824	1.31e+03	n.a.
GO:0003993	p	acid phosphatase activity	2/1159	8/4258	1	4.94e+03	658	4.82e+03	n.a.
GO:0003994	e	aconitate hydratase activity	2/1159	2/4258	0.074	366	281	357	n.a.
GO:0004000	e	adenosine deaminase activity	1/1159	1/4258	0.272	1.35e+03	824	1.31e+03	n.a.
GO:0004001	e	adenosine kinase activity	1/1159	1/4258	0.272	1.35e+03	824	1.31e+03	n.a.
GO:0004003	p	ATP-dependent DNA helicase activity	7/1159	26/4258	1	4.94e+03	68	4.82e+03	n.a.
GO:0004004	e	ATP-dependent RNA helicase activity	18/1159	32/4258	0.000517	2.56	2.37	2.49	n.a.
GO:0004013	e	adenosylhomocysteinase activity	1/1159	1/4258	0.272	1.35e+03	824	1.31e+03	n.a.
GO:0004017	e	adenylate kinase activity	2/1159	5/4258	0.618	3.05e+03	837	2.98e+03	n.a.
GO:0004018	e	N6-(1,2-dicarboxyethyl)AMP AMP-lyase (fumarate-forming) activity	1/1159	1/4258	0.272	1.35e+03	824	1.31e+03	n.a.
GO:0004019	e	adenylosuccinate synthase activity	1/1159	1/4258	0.272	1.35e+03	824	1.31e+03	n.a.
GO:0004020	e	adenylylsulfate kinase activity	1/1159	1/4258	0.272	1.35e+03	824	1.31e+03	n.a.
GO:0004021	e	L-alanine:2-oxoglutarate aminotransferase activity	1/1159	2/4258	0.47	2.32e+03	913	2.27e+03	n.a.
GO:0004022	e	alcohol dehydrogenase (NAD) activity	4/1159	6/4258	0.0504	249	199	243	n.a.
GO:0004029	e	aldehyde dehydrogenase (NAD) activity	2/1159	7/4258	1	4.94e+03	630	4.82e+03	n.a.
GO:0004030	e	aldehyde dehydrogenase [NAD(P)+] activity	3/1159	4/4258	0.0641	317	249	309	n.a.
GO:0004032	e	alditol:NADP+ 1-oxidoreductase activity	2/1159	5/4258	0.618	3.05e+03	837	2.98e+03	n.a.
GO:0004033	e	aldo-keto reductase (NADP) activity	4/1159	7/4258	0.0927	458	332	447	n.a.
GO:0004035	e	alkaline phosphatase activity	1/1159	2/4258	0.47	2.32e+03	913	2.27e+03	n.a.
GO:0004042	e	acetyl-CoA:L-glutamate N-acetyltransferase activity	1/1159	2/4258	0.47	2.32e+03	913	2.27e+03	n.a.
GO:0004047	e	aminomethyltransferase activity	1/1159	1/4258	0.272	1.35e+03	824	1.31e+03	n.a.
GO:0004049	e	anthranilate synthase activity	2/1159	2/4258	0.074	366	281	357	n.a.
GO:0004059	e	aralkylamine N-acetyltransferase activity	1/1159	1/4258	0.272	1.35e+03	824	1.31e+03	n.a.
GO:0004061	e	arylformamidase activity	1/1159	2/4258	0.47	2.32e+03	913	2.27e+03	n.a.
GO:0004066	e	asparagine synthase (glutamine-hydrolyzing) activity	1/1159	3/4258	1	4.94e+03	278	4.82e+03	n.a.
GO:0004069	e	L-aspartate:2-oxoglutarate aminotransferase activity	2/1159	2/4258	0.074	366	281	357	n.a.
GO:0004070	e	aspartate carbamoyltransferase activity	1/1159	1/4258	0.272	1.35e+03	824	1.31e+03	n.a.
GO:0004072	e	aspartate kinase activity	1/1159	1/4258	0.272	1.35e+03	824	1.31e+03	n.a.
GO:0004073	e	aspartate-semialdehyde dehydrogenase activity	1/1159	1/4258	0.272	1.35e+03	824	1.31e+03	n.a.
GO:0004075	e	biotin carboxylase activity	2/1159	5/4258	0.618	3.05e+03	837	2.98e+03	n.a.
GO:0004084	e	branched-chain-amino-acid transaminase activity	2/1159	2/4258	0.074	366	281	357	n.a.
GO:0004088	e	carbamoyl-phosphate synthase (glutamine-hydrolyzing) activity	2/1159	3/4258	0.182	899	607	876	n.a.
GO:0004090	p	carbonyl reductase (NADPH) activity	1/1159	4/4258	1	4.94e+03	562	4.82e+03	n.a.
GO:0004096	e	catalase activity	1/1159	2/4258	0.47	2.32e+03	913	2.27e+03	n.a.
GO:0004107	e	chorismate synthase activity	1/1159	1/4258	0.272	1.35e+03	824	1.31e+03	n.a.
GO:0004108	e	citrate (Si)-synthase activity	1/1159	2/4258	0.47	2.32e+03	913	2.27e+03	n.a.
GO:0004122	e	cystathionine beta-synthase activity	1/1159	1/4258	0.272	1.35e+03	824	1.31e+03	n.a.
GO:0004123	e	cystathionine gamma-lyase activity	1/1159	1/4258	0.272	1.35e+03	824	1.31e+03	n.a.
GO:0004124	e	cysteine synthase activity	1/1159	2/4258	0.47	2.32e+03	913	2.27e+03	n.a.
GO:0004127	e	cytidylate kinase activity	1/1159	1/4258	0.272	1.35e+03	824	1.31e+03	n.a.
GO:0004128	e	cytochrome-b5 reductase activity, acting on NAD(P)H	1/1159	3/4258	1	4.94e+03	278	4.82e+03	n.a.
GO:0004129	p	cytochrome-c oxidase activity	2/1159	12/4258	0.531	2.63e+03	786	2.56e+03	n.a.
GO:0004131	e	cytosine deaminase activity	1/1159	1/4258	0.272	1.35e+03	824	1.31e+03	n.a.
GO:0004142	e	diacylglycerol cholinephosphotransferase activity	1/1159	2/4258	0.47	2.32e+03	913	2.27e+03	n.a.
GO:0004145	e	diamine N-acetyltransferase activity	1/1159	1/4258	0.272	1.35e+03	824	1.31e+03	n.a.
GO:0004148	e	dihydrolipoyl dehydrogenase activity	1/1159	1/4258	0.272	1.35e+03	824	1.31e+03	n.a.
GO:0004149	e	dihydrolipoyllysine-residue succinyltransferase activity	1/1159	1/4258	0.272	1.35e+03	824	1.31e+03	n.a.
GO:0004151	e	dihydroorotase activity	1/1159	1/4258	0.272	1.35e+03	824	1.31e+03	n.a.
GO:0004152	e	dihydroorotate dehydrogenase activity	1/1159	1/4258	0.272	1.35e+03	824	1.31e+03	n.a.
GO:0004160	e	dihydroxy-acid dehydratase activity	1/1159	1/4258	0.272	1.35e+03	824	1.31e+03	n.a.
GO:0004161	e	dimethylallyltranstransferase activity	1/1159	2/4258	0.47	2.32e+03	913	2.27e+03	n.a.
GO:0004163	e	diphosphomevalonate decarboxylase activity	1/1159	1/4258	0.272	1.35e+03	824	1.31e+03	n.a.
GO:0004170	e	dUTP diphosphatase activity	1/1159	2/4258	0.47	2.32e+03	913	2.27e+03	n.a.
GO:0004174	e	electron-transferring-flavoprotein dehydrogenase activity	1/1159	1/4258	0.272	1.35e+03	824	1.31e+03	n.a.
GO:0004175	p	endopeptidase activity	17/1159	69/4258	0.684	3.38e+03	776	3.3e+03	n.a.
GO:0004176	e	ATP-dependent peptidase activity	1/1159	2/4258	0.47	2.32e+03	913	2.27e+03	n.a.
GO:0004177	p	aminopeptidase activity	4/1159	16/4258	1	4.94e+03	791	4.82e+03	n.a.
GO:0004190	p	aspartic-type endopeptidase activity	3/1159	24/4258	0.164	813	556	792	n.a.
GO:0004197	p	cysteine-type endopeptidase activity	1/1159	4/4258	1	4.94e+03	562	4.82e+03	n.a.
GO:0004198	e	calcium-dependent cysteine-type endopeptidase activity	1/1159	2/4258	0.47	2.32e+03	913	2.27e+03	n.a.
GO:0004222	e	metalloendopeptidase activity	6/1159	17/4258	0.425	2.1e+03	874	2.05e+03	n.a.
GO:0004252	p	serine-type endopeptidase activity	1/1159	7/4258	0.682	3.37e+03	807	3.29e+03	n.a.
GO:0004298	e	threonine-type endopeptidase activity	5/1159	14/4258	0.547	2.71e+03	790	2.64e+03	n.a.
GO:0004309	e	exopolyphosphatase activity	1/1159	2/4258	0.47	2.32e+03	913	2.27e+03	n.a.
GO:0004310	e	farnesyl-diphosphate farnesyltransferase activity	1/1159	1/4258	0.272	1.35e+03	824	1.31e+03	n.a.
GO:0004311	e	farnesyltranstransferase activity	1/1159	2/4258	0.47	2.32e+03	913	2.27e+03	n.a.
GO:0004312	e	fatty acid synthase activity	3/1159	8/4258	0.456	2.25e+03	920	2.2e+03	n.a.
GO:0004313	e	[acyl-carrier-protein] S-acetyltransferase activity	1/1159	1/4258	0.272	1.35e+03	824	1.31e+03	n.a.
GO:0004314	e	[acyl-carrier-protein] S-malonyltransferase activity	1/1159	2/4258	0.47	2.32e+03	913	2.27e+03	n.a.
GO:0004315	e	3-oxoacyl-[acyl-carrier-protein] synthase activity	1/1159	2/4258	0.47	2.32e+03	913	2.27e+03	n.a.
GO:0004316	e	3-oxoacyl-[acyl-carrier-protein] reductase (NADPH) activity	1/1159	1/4258	0.272	1.35e+03	824	1.31e+03	n.a.
GO:0004318	e	enoyl-[acyl-carrier-protein] reductase (NADH) activity	1/1159	1/4258	0.272	1.35e+03	824	1.31e+03	n.a.
GO:0004319	e	enoyl-[acyl-carrier-protein] reductase (NADPH, B-specific) activity	2/1159	2/4258	0.074	366	281	357	n.a.
GO:0004320	e	oleoyl-[acyl-carrier-protein] hydrolase activity	1/1159	1/4258	0.272	1.35e+03	824	1.31e+03	n.a.
GO:0004321	e	fatty-acyl-CoA synthase activity	2/1159	2/4258	0.074	366	281	357	n.a.
GO:0004322	e	ferroxidase activity	1/1159	3/4258	1	4.94e+03	278	4.82e+03	n.a.
GO:0004325	e	ferrochelatase activity	1/1159	2/4258	0.47	2.32e+03	913	2.27e+03	n.a.
GO:0004329	e	formate-tetrahydrofolate ligase activity	2/1159	2/4258	0.074	366	281	357	n.a.
GO:0004332	e	fructose-bisphosphate aldolase activity	1/1159	1/4258	0.272	1.35e+03	824	1.31e+03	n.a.
GO:0004333	e	fumarate hydratase activity	1/1159	1/4258	0.272	1.35e+03	824	1.31e+03	n.a.
GO:0004337	e	geranyltranstransferase activity	1/1159	2/4258	0.47	2.32e+03	913	2.27e+03	n.a.
GO:0004340	e	glucokinase activity	2/1159	2/4258	0.074	366	281	357	n.a.
GO:0004343	e	glucosamine 6-phosphate N-acetyltransferase activity	1/1159	1/4258	0.272	1.35e+03	824	1.31e+03	n.a.
GO:0004345	e	glucose-6-phosphate dehydrogenase activity	1/1159	1/4258	0.272	1.35e+03	824	1.31e+03	n.a.
GO:0004347	e	glucose-6-phosphate isomerase activity	1/1159	1/4258	0.272	1.35e+03	824	1.31e+03	n.a.
GO:0004349	e	glutamate 5-kinase activity	1/1159	2/4258	0.47	2.32e+03	913	2.27e+03	n.a.
GO:0004350	e	glutamate-5-semialdehyde dehydrogenase activity	1/1159	1/4258	0.272	1.35e+03	824	1.31e+03	n.a.
GO:0004351	e	glutamate decarboxylase activity	1/1159	1/4258	0.272	1.35e+03	824	1.31e+03	n.a.
GO:0004352	e	glutamate dehydrogenase (NAD+) activity	1/1159	1/4258	0.272	1.35e+03	824	1.31e+03	n.a.
GO:0004354	e	glutamate dehydrogenase (NADP+) activity	1/1159	2/4258	0.47	2.32e+03	913	2.27e+03	n.a.
GO:0004356	e	glutamate-ammonia ligase activity	1/1159	1/4258	0.272	1.35e+03	824	1.31e+03	n.a.
GO:0004358	e	glutamate N-acetyltransferase activity	1/1159	1/4258	0.272	1.35e+03	824	1.31e+03	n.a.
GO:0004360	e	glutamine-fructose-6-phosphate transaminase (isomerizing) activity	1/1159	1/4258	0.272	1.35e+03	824	1.31e+03	n.a.
GO:0004362	p	glutathione-disulfide reductase activity	1/1159	4/4258	1	4.94e+03	562	4.82e+03	n.a.
GO:0004364	p	glutathione transferase activity	1/1159	4/4258	1	4.94e+03	562	4.82e+03	n.a.
GO:0004365	e	glyceraldehyde-3-phosphate dehydrogenase (NAD+) (phosphorylating) activity	3/1159	3/4258	0.0201	99.5	83.6	97	n.a.
GO:0004367	e	glycerol-3-phosphate dehydrogenase [NAD+] activity	1/1159	2/4258	0.47	2.32e+03	913	2.27e+03	n.a.
GO:0004370	e	glycerol kinase activity	1/1159	1/4258	0.272	1.35e+03	824	1.31e+03	n.a.
GO:0004371	e	glycerone kinase activity	1/1159	1/4258	0.272	1.35e+03	824	1.31e+03	n.a.
GO:0004372	e	glycine hydroxymethyltransferase activity	2/1159	2/4258	0.074	366	281	357	n.a.
GO:0004375	e	glycine dehydrogenase (decarboxylating) activity	4/1159	4/4258	0.00547	27	24	26.3	n.a.
GO:0004385	e	guanylate kinase activity	1/1159	1/4258	0.272	1.35e+03	824	1.31e+03	n.a.
GO:0004386	e	helicase activity	36/1159	82/4258	0.00103	5.08	4.67	4.96	n.a.
GO:0004396	e	hexokinase activity	4/1159	4/4258	0.00547	27	24	26.3	n.a.
GO:0004399	e	histidinol dehydrogenase activity	1/1159	1/4258	0.272	1.35e+03	824	1.31e+03	n.a.
GO:0004402	e	histone acetyltransferase activity	16/1159	19/4258	3.39e-07	0.00168	0.00163	0.00164	n.a.
GO:0004407	e	histone deacetylase activity	5/1159	12/4258	0.327	1.62e+03	737	1.58e+03	n.a.
GO:0004410	e	homocitrate synthase activity	2/1159	2/4258	0.074	366	281	357	n.a.
GO:0004412	e	homoserine dehydrogenase activity	1/1159	1/4258	0.272	1.35e+03	824	1.31e+03	n.a.
GO:0004413	e	homoserine kinase activity	1/1159	1/4258	0.272	1.35e+03	824	1.31e+03	n.a.
GO:0004414	e	homoserine O-acetyltransferase activity	1/1159	1/4258	0.272	1.35e+03	824	1.31e+03	n.a.
GO:0004420	e	hydroxymethylglutaryl-CoA reductase (NADPH) activity	1/1159	2/4258	0.47	2.32e+03	913	2.27e+03	n.a.
GO:0004421	e	hydroxymethylglutaryl-CoA synthase activity	1/1159	1/4258	0.272	1.35e+03	824	1.31e+03	n.a.
GO:0004422	e	hypoxanthine phosphoribosyltransferase activity	1/1159	2/4258	0.47	2.32e+03	913	2.27e+03	n.a.
GO:0004425	e	indole-3-glycerol-phosphate synthase activity	1/1159	1/4258	0.272	1.35e+03	824	1.31e+03	n.a.
GO:0004427	e	inorganic diphosphatase activity	2/1159	2/4258	0.074	366	281	357	n.a.
GO:0004448	e	isocitrate dehydrogenase activity	3/1159	5/4258	0.128	633	448	617	n.a.
GO:0004449	e	isocitrate dehydrogenase (NAD+) activity	2/1159	2/4258	0.074	366	281	357	n.a.
GO:0004450	e	isocitrate dehydrogenase (NADP+) activity	1/1159	3/4258	1	4.94e+03	278	4.82e+03	n.a.
GO:0004455	e	ketol-acid reductoisomerase activity	1/1159	1/4258	0.272	1.35e+03	824	1.31e+03	n.a.
GO:0004457	e	lactate dehydrogenase activity	2/1159	4/4258	0.3	1.48e+03	725	1.44e+03	n.a.
GO:0004458	e	D-lactate dehydrogenase (cytochrome) activity	2/1159	3/4258	0.182	899	607	876	n.a.
GO:0004467	e	long-chain fatty acid-CoA ligase activity	2/1159	4/4258	0.3	1.48e+03	725	1.44e+03	n.a.
GO:0004470	e	malic enzyme activity	1/1159	1/4258	0.272	1.35e+03	824	1.31e+03	n.a.
GO:0004471	e	malate dehydrogenase (decarboxylating) (NAD+) activity	1/1159	1/4258	0.272	1.35e+03	824	1.31e+03	n.a.
GO:0004475	e	mannose-1-phosphate guanylyltransferase activity	1/1159	1/4258	0.272	1.35e+03	824	1.31e+03	n.a.
GO:0004476	e	mannose-6-phosphate isomerase activity	1/1159	1/4258	0.272	1.35e+03	824	1.31e+03	n.a.
GO:0004477	e	methenyltetrahydrofolate cyclohydrolase activity	2/1159	2/4258	0.074	366	281	357	n.a.
GO:0004478	e	methionine adenosyltransferase activity	2/1159	2/4258	0.074	366	281	357	n.a.
GO:0004487	e	methylenetetrahydrofolate dehydrogenase (NAD+) activity	1/1159	1/4258	0.272	1.35e+03	824	1.31e+03	n.a.
GO:0004488	e	methylenetetrahydrofolate dehydrogenase (NADP+) activity	3/1159	3/4258	0.0201	99.5	83.6	97	n.a.
GO:0004497	p	monooxygenase activity	2/1159	8/4258	1	4.94e+03	658	4.82e+03	n.a.
GO:0004515	e	nicotinate-nucleotide adenylyltransferase activity	1/1159	2/4258	0.47	2.32e+03	913	2.27e+03	n.a.
GO:0004518	e	nuclease activity	29/1159	95/4258	0.484	2.39e+03	742	2.33e+03	n.a.
GO:0004519	p	endonuclease activity	18/1159	69/4258	0.892	4.41e+03	770	4.3e+03	n.a.
GO:0004520	e	endodeoxyribonuclease activity	6/1159	19/4258	0.615	3.04e+03	839	2.96e+03	n.a.
GO:0004521	p	endoribonuclease activity	12/1159	47/4258	0.87	4.3e+03	755	4.19e+03	n.a.
GO:0004523	p	RNA-DNA hybrid ribonuclease activity	4/1159	22/4258	0.472	2.34e+03	734	2.28e+03	n.a.
GO:0004525	e	ribonuclease III activity	1/1159	3/4258	1	4.94e+03	278	4.82e+03	n.a.
GO:0004526	e	ribonuclease P activity	3/1159	9/4258	0.711	3.51e+03	771	3.43e+03	n.a.
GO:0004527	e	exonuclease activity	14/1159	35/4258	0.125	616	437	601	n.a.
GO:0004529	e	exodeoxyribonuclease activity	7/1159	14/4258	0.0699	346	267	337	n.a.
GO:0004532	e	exoribonuclease activity	4/1159	13/4258	0.759	3.75e+03	752	3.66e+03	n.a.
GO:0004534	e	5'-3' exoribonuclease activity	2/1159	2/4258	0.074	366	281	357	n.a.
GO:0004536	e	deoxyribonuclease activity	12/1159	27/4258	0.0514	254	202	248	n.a.
GO:0004540	p	ribonuclease activity	15/1159	60/4258	0.772	3.81e+03	744	3.72e+03	n.a.
GO:0004549	e	tRNA-specific ribonuclease activity	3/1159	11/4258	1	4.94e+03	61	4.82e+03	n.a.
GO:0004550	e	nucleoside diphosphate kinase activity	1/1159	1/4258	0.272	1.35e+03	824	1.31e+03	n.a.
GO:0004551	p	nucleotide diphosphatase activity	1/1159	6/4258	1	4.94e+03	726	4.82e+03	n.a.
GO:0004553	p	hydrolase activity, hydrolyzing O-glycosyl compounds	3/1159	33/4258	0.0174	85.9	72.8	83.8	n.a.
GO:0004555	e	alpha,alpha-trehalase activity	1/1159	3/4258	1	4.94e+03	278	4.82e+03	n.a.
GO:0004558	e	alpha-1,4-glucosidase activity	1/1159	2/4258	0.47	2.32e+03	913	2.27e+03	n.a.
GO:0004564	p	beta-fructofuranosidase activity	1/1159	4/4258	1	4.94e+03	562	4.82e+03	n.a.
GO:0004568	e	chitinase activity	1/1159	2/4258	0.47	2.32e+03	913	2.27e+03	n.a.
GO:0004575	p	sucrose alpha-glucosidase activity	1/1159	4/4258	1	4.94e+03	562	4.82e+03	n.a.
GO:0004576	p	oligosaccharyl transferase activity	1/1159	6/4258	1	4.94e+03	726	4.82e+03	n.a.
GO:0004579	p	dolichyl-diphosphooligosaccharide-protein glycotransferase activity	1/1159	6/4258	1	4.94e+03	726	4.82e+03	n.a.
GO:0004587	e	ornithine-oxo-acid transaminase activity	1/1159	1/4258	0.272	1.35e+03	824	1.31e+03	n.a.
GO:0004588	e	orotate phosphoribosyltransferase activity	1/1159	1/4258	0.272	1.35e+03	824	1.31e+03	n.a.
GO:0004591	e	oxoglutarate dehydrogenase (succinyl-transferring) activity	3/1159	3/4258	0.0201	99.5	83.6	97	n.a.
GO:0004596	p	peptide alpha-N-acetyltransferase activity	2/1159	10/4258	1	4.94e+03	780	4.82e+03	n.a.
GO:0004601	e	peroxidase activity	7/1159	17/4258	0.272	1.34e+03	823	1.31e+03	n.a.
GO:0004602	e	glutathione peroxidase activity	2/1159	7/4258	1	4.94e+03	630	4.82e+03	n.a.
GO:0004608	e	phosphatidylethanolamine N-methyltransferase activity	1/1159	1/4258	0.272	1.35e+03	824	1.31e+03	n.a.
GO:0004614	e	phosphoglucomutase activity	1/1159	2/4258	0.47	2.32e+03	913	2.27e+03	n.a.
GO:0004615	e	phosphomannomutase activity	1/1159	1/4258	0.272	1.35e+03	824	1.31e+03	n.a.
GO:0004616	e	phosphogluconate dehydrogenase (decarboxylating) activity	1/1159	2/4258	0.47	2.32e+03	913	2.27e+03	n.a.
GO:0004617	e	phosphoglycerate dehydrogenase activity	1/1159	2/4258	0.47	2.32e+03	913	2.27e+03	n.a.
GO:0004618	e	phosphoglycerate kinase activity	1/1159	1/4258	0.272	1.35e+03	824	1.31e+03	n.a.
GO:0004619	e	phosphoglycerate mutase activity	1/1159	3/4258	1	4.94e+03	278	4.82e+03	n.a.
GO:0004632	e	phosphopantothenate--cysteine ligase activity	1/1159	1/4258	0.272	1.35e+03	824	1.31e+03	n.a.
GO:0004634	e	phosphopyruvate hydratase activity	2/1159	2/4258	0.074	366	281	357	n.a.
GO:0004635	e	phosphoribosyl-AMP cyclohydrolase activity	1/1159	1/4258	0.272	1.35e+03	824	1.31e+03	n.a.
GO:0004636	e	phosphoribosyl-ATP diphosphatase activity	1/1159	1/4258	0.272	1.35e+03	824	1.31e+03	n.a.
GO:0004637	e	phosphoribosylamine-glycine ligase activity	1/1159	1/4258	0.272	1.35e+03	824	1.31e+03	n.a.
GO:0004639	e	phosphoribosylaminoimidazolesuccinocarboxamide synthase activity	1/1159	1/4258	0.272	1.35e+03	824	1.31e+03	n.a.
GO:0004641	e	phosphoribosylformylglycinamidine cyclo-ligase activity	1/1159	1/4258	0.272	1.35e+03	824	1.31e+03	n.a.
GO:0004642	e	phosphoribosylformylglycinamidine synthase activity	1/1159	1/4258	0.272	1.35e+03	824	1.31e+03	n.a.
GO:0004643	e	phosphoribosylaminoimidazolecarboxamide formyltransferase activity	2/1159	2/4258	0.074	366	281	357	n.a.
GO:0004645	e	phosphorylase activity	1/1159	2/4258	0.47	2.32e+03	913	2.27e+03	n.a.
GO:0004648	e	O-phospho-L-serine:2-oxoglutarate aminotransferase activity	1/1159	1/4258	0.272	1.35e+03	824	1.31e+03	n.a.
GO:0004651	e	polynucleotide 5'-phosphatase activity	1/1159	1/4258	0.272	1.35e+03	824	1.31e+03	n.a.
GO:0004652	p	polynucleotide adenylyltransferase activity	1/1159	5/4258	1	4.94e+03	409	4.82e+03	n.a.
GO:0004659	p	prenyltransferase activity	2/1159	11/4258	0.738	3.65e+03	761	3.55e+03	n.a.
GO:0004672	p	protein kinase activity	11/1159	113/4258	5.06e-06	0.025	0.0241	0.0244	n.a.
GO:0004674	p	protein serine/threonine kinase activity	11/1159	106/4258	3.26e-05	0.161	0.154	0.157	n.a.
GO:0004693	e	cyclin-dependent protein serine/threonine kinase activity	3/1159	6/4258	0.354	1.75e+03	788	1.71e+03	n.a.
GO:0004702	p	receptor signaling protein serine/threonine kinase activity	1/1159	9/4258	0.459	2.27e+03	913	2.21e+03	n.a.
GO:0004709	e	MAP kinase kinase kinase activity	1/1159	3/4258	1	4.94e+03	278	4.82e+03	n.a.
GO:0004712	p	protein serine/threonine/tyrosine kinase activity	1/1159	9/4258	0.459	2.27e+03	913	2.21e+03	n.a.
GO:0004713	p	protein tyrosine kinase activity	1/1159	6/4258	1	4.94e+03	726	4.82e+03	n.a.
GO:0004721	p	phosphoprotein phosphatase activity	3/1159	40/4258	0.0036	17.8	15.9	17.3	n.a.
GO:0004722	p	protein serine/threonine phosphatase activity	1/1159	23/4258	0.00914	45.2	39.1	44	n.a.
GO:0004725	p	protein tyrosine phosphatase activity	1/1159	14/4258	0.131	647	452	631	n.a.
GO:0004729	e	oxygen-dependent protoporphyrinogen oxidase activity	1/1159	1/4258	0.272	1.35e+03	824	1.31e+03	n.a.
GO:0004733	e	pyridoxamine-phosphate oxidase activity	1/1159	2/4258	0.47	2.32e+03	913	2.27e+03	n.a.
GO:0004736	e	pyruvate carboxylase activity	1/1159	2/4258	0.47	2.32e+03	913	2.27e+03	n.a.
GO:0004737	e	pyruvate decarboxylase activity	1/1159	3/4258	1	4.94e+03	278	4.82e+03	n.a.
GO:0004738	e	pyruvate dehydrogenase activity	3/1159	3/4258	0.0201	99.5	83.6	97	n.a.
GO:0004739	e	pyruvate dehydrogenase (acetyl-transferring) activity	2/1159	2/4258	0.074	366	281	357	n.a.
GO:0004742	e	dihydrolipoyllysine-residue acetyltransferase activity	1/1159	1/4258	0.272	1.35e+03	824	1.31e+03	n.a.
GO:0004743	e	pyruvate kinase activity	1/1159	2/4258	0.47	2.32e+03	913	2.27e+03	n.a.
GO:0004748	e	ribonucleoside-diphosphate reductase activity, thioredoxin disulfide as acceptor	2/1159	4/4258	0.3	1.48e+03	725	1.44e+03	n.a.
GO:0004749	e	ribose phosphate diphosphokinase activity	2/1159	5/4258	0.618	3.05e+03	837	2.98e+03	n.a.
GO:0004750	e	ribulose-phosphate 3-epimerase activity	1/1159	1/4258	0.272	1.35e+03	824	1.31e+03	n.a.
GO:0004751	e	ribose-5-phosphate isomerase activity	1/1159	1/4258	0.272	1.35e+03	824	1.31e+03	n.a.
GO:0004758	e	serine C-palmitoyltransferase activity	1/1159	2/4258	0.47	2.32e+03	913	2.27e+03	n.a.
GO:0004764	e	shikimate 3-dehydrogenase (NADP+) activity	1/1159	1/4258	0.272	1.35e+03	824	1.31e+03	n.a.
GO:0004765	e	shikimate kinase activity	1/1159	1/4258	0.272	1.35e+03	824	1.31e+03	n.a.
GO:0004766	e	spermidine synthase activity	1/1159	1/4258	0.272	1.35e+03	824	1.31e+03	n.a.
GO:0004768	e	stearoyl-CoA 9-desaturase activity	1/1159	1/4258	0.272	1.35e+03	824	1.31e+03	n.a.
GO:0004774	e	succinate-CoA ligase activity	2/1159	2/4258	0.074	366	281	357	n.a.
GO:0004775	e	succinate-CoA ligase (ADP-forming) activity	2/1159	2/4258	0.074	366	281	357	n.a.
GO:0004779	e	sulfate adenylyltransferase activity	1/1159	2/4258	0.47	2.32e+03	913	2.27e+03	n.a.
GO:0004780	e	sulfate adenylyltransferase (ADP) activity	1/1159	1/4258	0.272	1.35e+03	824	1.31e+03	n.a.
GO:0004784	e	superoxide dismutase activity	2/1159	4/4258	0.3	1.48e+03	725	1.44e+03	n.a.
GO:0004791	e	thioredoxin-disulfide reductase activity	1/1159	2/4258	0.47	2.32e+03	913	2.27e+03	n.a.
GO:0004792	e	thiosulfate sulfurtransferase activity	3/1159	5/4258	0.128	633	448	617	n.a.
GO:0004793	e	threonine aldolase activity	1/1159	1/4258	0.272	1.35e+03	824	1.31e+03	n.a.
GO:0004794	e	L-threonine ammonia-lyase activity	2/1159	2/4258	0.074	366	281	357	n.a.
